bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID
ArafS214P	PSMC5	TbID	no	proteasome	0.11058538048799	0.304473317535468	1.13722550487314	3.63741549500248e-10
ERK2WT	PSMC5	TbID	no	proteasome	-0.0221919070261647	0.877715222678851	1.06131162319087	2.34039786324164e-10
Raf1S259F	PSMC5	shared	no	proteasome	0.542701588165577	0.00026106555698582	0.860994881476425	1.62867514713923e-09
MEK1DD	PSMC5	TbID	no	proteasome	0.196959753950437	0.0736171388050759	1.58140999301887	1.0126051814973e-10
HrasWT	PSMC5	TbID	no	proteasome	-0.570323292544818	0.000343705639164066	0.902018366314486	1.52295704634998e-08
MEK2WT	PSMC5	TbID	no	proteasome	-0.137170873076269	0.387525172435547	1.27732931207136	8.76386252963756e-11
BrafD594N	PSMC5	TbID	no	proteasome	-0.0209094091050592	0.908428211450969	1.11033759810671	6.80080079176892e-11
MEK2AA	PSMC5	TbID	no	proteasome	-0.128808475284316	0.358632568716278	1.38179334198693	6.55218924104585e-12
MEK1WT	PSMC5	TbID	no	proteasome	-0.258099055723713	0.0596388641026056	1.35629091727414	1.34736538973977e-11
ERK2AA	PSMC5	TbID	no	proteasome	-0.407713596045735	0.00190777866821052	1.02618575865987	6.63117388454569e-09
HrasG13R	PSMC5	TbID	no	proteasome	-0.530893441244131	0.0036626011154444	0.873127038866743	1.32989628489335e-08
BrafV600E	PSMC5	TbID	no	proteasome	0.000660574824035237	0.995601056505977	0.951758218908942	1.83112347412257e-10
MEK2DD	PSMC5	shared	no	proteasome	0.696798463998189	2.30290803325772e-05	1.95805613835844	8.22785035723479e-13
Raf1S257L	PSMC5	shared	no	proteasome	0.620785246744009	4.6018184520296e-05	0.985079060235211	2.10297171428783e-10
MEK2DD	PSMC6	shared	no	proteasome	1.16455652455093	2.04692992329288e-07	0.587624900265294	1.5317587344121e-07
Raf1S259F	PSMC6	shared	no	proteasome	1.28726577807338	1.5995458481293e-07	0.194954283862009	0.00289615017387031
Raf1S257L	PSMC6	shared	no	proteasome	1.21730028897703	3.96723308205269e-08	0.128529779953149	0.0374922944979686
Raf1S259F	PSMD1	shared	no	proteasome	1.35475243070699	8.23976711184336e-07	0.296487961456819	2.28559708536653e-05
KrasS17N	PSMD1	AP-MS	no	proteasome	1.09141669819035	1.99295663367607e-07	-0.08552760340765	0.0399655395132407
KrasG12D	PSMD1	AP-MS	no	proteasome	1.14147908010263	1.75294406579111e-07	-0.105141351714622	0.0265813921152482
Raf1S257L	PSMD1	shared	no	proteasome	1.384283963263	9.56137869007522e-09	0.320585255267121	3.18538347838818e-05
KrasWT	PSMD1	AP-MS	no	proteasome	1.03811318425992	8.10813030354591e-07	0.0377909527290061	0.335601793266089
MEK2DD	PSMD1	shared	no	proteasome	1.07301595090668	3.09464288754206e-07	0.562273615693431	2.79087275753124e-08
KrasG12V	PSMD1	AP-MS	no	proteasome	0.992690516369468	1.14532429626778e-08	-0.1242895381191	0.0233196900586841
KrasS17N	PSMD11	AP-MS	no	proteasome	1.01523578120674	6.29459509000196e-07	-0.144449974350241	0.00814664011979838
KrasG12V	PSMD11	AP-MS	no	proteasome	1.00676952249765	1.08363392435187e-08	-0.0911612084224256	0.0490984248319426
Raf1S259F	PSMD11	shared	no	proteasome	1.43513818797704	6.66400684697501e-08	0.655011415964208	8.8218495325044e-08
KrasWT	PSMD11	shared	no	proteasome	0.970938583180944	4.81181367153441e-07	0.140011277370762	0.0415823939389943
BrafG469A	PSMD11	TbID	no	proteasome	-0.383843808904372	0.000568917960725453	0.889171396990042	8.11295915594969e-09
Raf1S257L	PSMD11	shared	no	proteasome	1.45147478451094	8.51889240686045e-10	0.787023032732193	2.80719267099208e-08
KrasG12D	PSMD11	AP-MS	no	proteasome	0.972053266658506	1.0760775368955e-06	-0.060262598358678	0.214405425734802
MEK2DD	PSMD11	shared	no	proteasome	1.1377329943856	4.13852395489545e-08	0.346469843413097	5.00231074470082e-05
Raf1S259F	PSMD12	shared	yes	proteasome	1.52056076140058	3.59945346913395e-07	0.680491969599266	3.98807761212952e-08
