subcell_localization	query	category	term_id	term_name	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
Actin	RAF1	Reactome	HSA-390450	Folding of actin by CCT/TriC	8	10	2.77	6.22	3.87E-16	9606.ENSP00000258091,9606.ENSP00000275603,9606.ENSP00000280326,9606.ENSP00000286788,9606.ENSP00000295688,9606.ENSP00000299300,9606.ENSP00000317334,9606.ENSP00000377958	CCT7,CCT6A,CCT5,CCT8,CCT3,CCT2,TCP1,CCT4
unclassified	RAF1	STRING clusters	CL:1923	RPAP3/R2TP/prefoldin-like complex	4	10	2.2	1.32	0.00016	9606.ENSP00000202017,9606.ENSP00000376097,9606.ENSP00000378563,9606.ENSP00000475224	PDRG1,URI1,PFDN6,ASDURF
PM	ERK1	Reactome	HSA-446388	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	3	8	2.64	2.12	0.0000333	9606.ENSP00000334008,9606.ENSP00000367154,9606.ENSP00000384515	PARVA,RSU1,PARVB
PM	ERK2	Reactome	HSA-446388	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	3	8	2.51	1.43	0.00052	9606.ENSP00000334008,9606.ENSP00000367154,9606.ENSP00000384515	PARVA,RSU1,PARVB
SG	ERK1_2	Reactome	HSA-426496	Post-transcriptional silencing by small RNAs	4	7	3.05	4.28	0.0000000251	9606.ENSP00000220592,9606.ENSP00000362287,9606.ENSP00000362300,9606.ENSP00000379144	AGO2,AGO3,AGO1,TNRC6A
SG	ERK2	Reactome	HSA-426496	Post-transcriptional silencing by small RNAs	4	7	3.1	4.56	0.0000000151	9606.ENSP00000220592,9606.ENSP00000362287,9606.ENSP00000362300,9606.ENSP00000379144	AGO2,AGO3,AGO1,TNRC6A
unclassified	all_RAF	STRING clusters	CL:361	Eukaryotic translation elongation factor 1 complex	3	5	2.2	0.84	0.0022	9606.ENSP00000217182,9606.ENSP00000331901,9606.ENSP00000376055	EEF1A2,EEF1G,EEF1B2
EndoLysoGolgi	RAF1	Reactome	HSA-9007101	Rab regulation of trafficking							
EndoLysoGolgi	MEK2	GO Process	GO:0046907	intracellular transport							
EndoLysoGolgi	MEK1	GO Process	GO:0072665	protein localization to vacuole							
EndoLysoGolgi	RAF1	GO Process	GO:0006914	autophagy							
EndoLysoGolgi	ARAF	GO Process	GO:0099022	vesicle tethering							
nucleus	ERK2	GO Process	GO:1902679	negative regulation of DNA-templated transcription							
PM	KRAS	Reactome	HSA-392518	Signal amplification							
