Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	MAP2K1	YWHAH	Q02750	Q04917	MAP2K1_YWHAH	5.12	2.36	1.82E-08	1.16E-17	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	MAP2K1	Q02750	Q02750	MAP2K1_MAP2K1	14.30	3.84	8.20E-12	3.44E-43	No	No	No	Yes	Yes
EGFRNetmtKRAS-Lo	MAP2K1	SLC7A5	Q02750	Q01650	MAP2K1_SLC7A5	1.40	0.49	8.06E-04	3.21E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	YWHAZ	Q02750	P63104	MAP2K1_YWHAZ	3.69	1.88	2.38E-06	5.25E-12	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K1	YWHAE	Q02750	P62258	MAP2K1_YWHAE	3.30	1.72	1.68E-08	2.44E-10	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K1	YWHAG	Q02750	P61981	MAP2K1_YWHAG	5.20	2.38	1.98E-08	5.86E-18	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	RAB5C	Q02750	P51148	MAP2K1_RAB5C	1.39	0.48	3.77E-03	3.48E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	NT5C2	Q02750	P49902	MAP2K1_NT5C2	1.63	0.71	9.22E-03	4.21E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	RPL29	Q02750	P47914	MAP2K1_RPL29	1.36	0.44	1.64E-02	4.49E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	YWHAB	Q02750	P31946	MAP2K1_YWHAB	3.70	1.89	3.89E-09	4.94E-12	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K1	CAD	Q02750	P27708	MAP2K1_CAD	1.46	0.54	1.50E-06	2.04E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	YWHAQ	Q02750	P27348	MAP2K1_YWHAQ	2.11	1.08	1.98E-10	4.12E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	ITGA3	Q02750	P26006	MAP2K1_ITGA3	1.35	0.44	3.49E-02	4.78E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	FBL	Q02750	P22087	MAP2K1_FBL	1.99	1.00	3.05E-02	1.30E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	CD9	Q02750	P21926	MAP2K1_CD9	1.36	0.44	2.96E-05	4.61E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	ARAF	Q02750	P10398	MAP2K1_ARAF	7.41	2.89	9.19E-08	1.74E-25	Yes	No	No	Yes	Yes
EGFRNetmtKRAS-Lo	MAP2K1	HSPB1	Q02750	P04792	MAP2K1_HSPB1	1.86	0.89	1.86E-04	5.09E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	RAF1	Q02750	P04049	MAP2K1_RAF1	6.84	2.77	1.98E-10	1.16E-23	Yes	No	No	Yes	Yes
EGFRNetmtKRAS-Lo	MAP2K1	KRAS	Q02750	P01116	MAP2K1_KRAS	1.80	0.85	4.74E-03	8.99E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	PROSC	Q02750	O94903	MAP2K1_PROSC	1.65	0.72	2.36E-02	3.65E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	DNAJA2	Q02750	O60884	MAP2K1_DNAJA2	1.45	0.54	1.50E-06	2.11E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K1	SLC16A3	Q02750	O15427	MAP2K1_SLC16A3	1.44	0.52	4.33E-05	2.41E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	TUBA1C	P36507	Q9BQE3	MAP2K2_TUBA1C	2.57	1.36	5.03E-03	6.00E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	KSR1	P36507	Q8IVT5	MAP2K2_KSR1	4.46	2.16	9.42E-04	2.03E-07	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	MAP2K2	IMMT	P36507	Q16891	MAP2K2_IMMT	4.11	2.04	1.80E-03	7.93E-07	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	CDC37	P36507	Q16543	MAP2K2_CDC37	9.24	3.21	4.05E-08	3.57E-14	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	PRDX1	P36507	Q06830	MAP2K2_PRDX1	1.67	0.74	9.93E-07	3.52E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	YWHAH	P36507	Q04917	MAP2K2_YWHAH	9.44	3.24	2.97E-05	2.09E-14	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	SLC25A11	P36507	Q02978	MAP2K2_SLC25A11	2.59	1.37	7.01E-03	5.53E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	DSG1	P36507	Q02413	MAP2K2_DSG1	4.06	2.02	2.04E-02	9.85E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	SLC25A3	P36507	Q00325	MAP2K2_SLC25A3	1.62	0.70	2.14E-07	4.37E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	TUBB4B	P36507	P68371	MAP2K2_TUBB4B	2.18	1.13	3.11E-05	3.48E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	TUBA4A	P36507	P68366	MAP2K2_TUBA4A	2.45	1.29	5.41E-08	1.02E-03	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	TUBA1B	P36507	P68363	MAP2K2_TUBA1B	2.45	1.29	5.41E-08	1.02E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	YWHAZ	P36507	P63104	MAP2K2_YWHAZ	9.68	3.28	9.23E-09	1.09E-14	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	CCT6A	P36507	P40227	MAP2K2_CCT6A	1.60	0.68	2.73E-05	4.71E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	HSPA9	P36507	P38646	MAP2K2_HSPA9	3.06	1.61	5.19E-07	6.80E-05	No	No	No	No	No
EGFRNetmtKRAS-Lo	MAP2K2	MAP2K2	P36507	P36507	MAP2K2_MAP2K2	16.90	4.08	6.17E-10	1.20E-21	No	No	No	Yes	No
