Network	Bait	Prey	Bait_uniprot	Prey_uniprot	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Lo AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                                   P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Hi)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Lo	PEBP1	CKB	P30086	P12277	PEBP1_CKB	1.43	0.52	3.62E-06	2.74E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	GSN	P30086	P06396	PEBP1_GSN	1.68	0.75	1.49E-04	2.31E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	ATP1A1	P30086	P05023	PEBP1_ATP1A1	1.47	0.56	1.83E-02	1.84E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	ANXA1	P30086	P04083	PEBP1_ANXA1	1.55	0.63	4.43E-06	8.80E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	SGPL1	P30086	O95470	PEBP1_SGPL1	2.24	1.16	1.47E-02	4.86E-06	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	SLC16A3	P30086	O15427	PEBP1_SLC16A3	1.48	0.56	5.48E-03	1.80E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	EIF3H	P30086	O15372	PEBP1_EIF3H	1.98	0.98	3.57E-02	9.72E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	CWC25	P30086	Q9NXE8	PEBP1_CWC25	1.59	0.67	5.08E-03	4.09E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	ARGLU1	P30086	Q9NWB6	PEBP1_ARGLU1	1.71	0.77	8.31E-03	2.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	STK38	P30086	Q15208	PEBP1_STK38	1.80	0.84	1.53E-02	1.40E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	DSG1	P30086	Q02413	PEBP1_DSG1	3.51	1.81	1.32E-02	1.20E-06	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	GDI2	P30086	P50395	PEBP1_GDI2	1.58	0.66	2.87E-03	4.27E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	PEBP1	P30086	P30086	PEBP1_PEBP1	27.27	4.77	1.10E-06	8.34E-36	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	PEBP1	JAK1	P30086	P23458	PEBP1_JAK1	1.63	0.70	1.95E-02	3.40E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	HMGA1	P30086	P17096	PEBP1_HMGA1	2.35	1.23	1.10E-02	6.79E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	DSP	P30086	P15924	PEBP1_DSP	5.69	2.51	4.40E-03	3.05E-11	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	JUP	P30086	P14923	PEBP1_JUP	4.95	2.31	1.75E-06	9.05E-10	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	ANXA2P2	P30086	A6NMY6	PEBP1_ANXA2P2	1.67	0.74	1.43E-03	2.65E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	ANXA2	P30086	P07355	PEBP1_ANXA2	1.67	0.74	1.43E-03	2.65E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	HSPB1	P30086	P04792	PEBP1_HSPB1	1.66	0.73	1.64E-02	2.94E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	HPX	P30086	P02790	PEBP1_HPX	9.00	3.17	1.84E-02	7.07E-17	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	TXNDC12	P30086	O95881	PEBP1_TXNDC12	1.58	0.66	1.26E-02	4.23E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PEBP1	PPM1B	P30086	O75688	PEBP1_PPM1B	1.96	0.97	1.65E-02	5.87E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	COQ6	P10644	Q9Y2Z9	PRKAR1A_COQ6	1.31	0.38	1.39E-03	3.24E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	AKAP11	P10644	Q9UKA4	PRKAR1A_AKAP11	1.85	0.89	8.72E-04	1.36E-05	Yes	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	PRKAR1A	NXF1	P10644	Q9UBU9	PRKAR1A_NXF1	1.38	0.46	3.16E-05	1.34E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	VPS29	P10644	Q9UBQ0	PRKAR1A_VPS29	1.40	0.49	8.91E-03	9.86E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	CAMSAP3	P10644	Q9P1Y5	PRKAR1A_CAMSAP3	1.36	0.44	3.21E-03	1.77E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	PDCD2L	P10644	Q9BRP1	PRKAR1A_PDCD2L	1.68	0.75	2.26E-02	1.92E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	CORO1B	P10644	Q9BR76	PRKAR1A_CORO1B	1.42	0.51	1.93E-02	7.73E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	UHRF1	P10644	Q96T88	PRKAR1A_UHRF1	1.27	0.34	9.75E-03	4.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	SNRNP40	P10644	Q96DI7	PRKAR1A_SNRNP40	1.34	0.42	1.77E-02	2.22E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	GPX8	P10644	Q8TED1	PRKAR1A_GPX8	1.28	0.35	3.53E-03	4.50E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	DOCK4	P10644	Q8N1I0	PRKAR1A_DOCK4	1.33	0.41	3.04E-07	2.58E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	MEPCE	P10644	Q7L2J0	PRKAR1A_MEPCE	1.28	0.35	2.58E-04	4.43E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	MOB2	P10644	Q70IA6	PRKAR1A_MOB2	1.69	0.76	1.01E-02	1.72E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	ADRM1	P10644	Q16186	PRKAR1A_ADRM1	1.31	0.39	2.41E-02	3.19E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	FAT1	P10644	Q14517	PRKAR1A_FAT1	1.42	0.51	1.80E-03	7.87E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	ACACA	P10644	Q13085	PRKAR1A_ACACA	1.34	0.42	2.85E-04	2.27E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	KHDRBS1	P10644	Q07666	PRKAR1A_KHDRBS1	1.33	0.42	1.12E-04	2.34E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	SLC25A11	P10644	Q02978	PRKAR1A_SLC25A11	1.29	0.37	8.62E-04	3.77E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	RPL6	P10644	Q02878	PRKAR1A_RPL6	1.28	0.36	1.60E-03	4.37E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	RPL36A	P10644	P83881	PRKAR1A_RPL36A	1.64	0.72	2.37E-03	3.36E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	SERPINH1	P10644	P50454	PRKAR1A_SERPINH1	1.29	0.37	1.68E-02	3.74E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	PYCR1	P10644	P32322	PRKAR1A_PYCR1	1.52	0.61	6.26E-04	1.99E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	PRKAR1B	P10644	P31321	PRKAR1A_PRKAR1B	7.73	2.95	5.51E-10	8.74E-44	Yes	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	PRKAR1A	HLA-A	P10644	P16188	PRKAR1A_HLA-A	1.31	0.39	3.28E-02	3.14E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	HLA-C	P10644	P10321	PRKAR1A_HLA-C	1.31	0.39	3.28E-02	3.14E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	KDELR1	P10644	P24390	PRKAR1A_KDELR1	1.34	0.43	5.67E-03	2.05E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	CFL1	P10644	P23528	PRKAR1A_CFL1	1.28	0.36	1.45E-06	4.37E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	PRKACA	P10644	P17612	PRKAR1A_PRKACA	5.78	2.53	2.91E-04	8.87E-33	Yes	Yes	No	Yes	No
EGFRNetmtKRAS-Lo	PRKAR1A	JUP	P10644	P14923	PRKAR1A_JUP	1.33	0.41	6.95E-03	2.45E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	G6PD	P10644	P11413	PRKAR1A_G6PD	1.83	0.87	1.89E-02	1.85E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	PRKAR1A	P10644	P10644	PRKAR1A_PRKAR1A	9.01	3.17	1.00E-17	2.99E-50	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	PRKAR1A	PRKCB	P10644	P05771	PRKAR1A_PRKCB	4.05	2.02	1.89E-03	1.41E-21	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	HSPB1	P10644	P04792	PRKAR1A_HSPB1	1.50	0.58	9.79E-04	2.77E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	AHSA1	P10644	O95433	PRKAR1A_AHSA1	1.31	0.39	2.33E-02	3.16E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	MGEA5	P10644	O60502	PRKAR1A_MGEA5	1.39	0.47	1.87E-02	1.19E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	AP1G1	P10644	O43747	PRKAR1A_AP1G1	1.60	0.68	3.38E-02	6.38E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	MAGEB2	P10644	O15479	PRKAR1A_MAGEB2	1.28	0.35	1.41E-02	4.39E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKAR1A	ADAM10	P10644	O14672	PRKAR1A_ADAM10	1.65	0.72	2.77E-03	2.97E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	HYOU1	P17252	Q9Y4L1	PRKCA_HYOU1	1.37	0.46	3.29E-02	2.15E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	CDC37	P17252	Q16543	PRKCA_CDC37	1.44	0.53	3.34E-02	9.94E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	PRPSAP1	P17252	Q14558	PRKCA_PRPSAP1	1.54	0.63	2.78E-02	2.85E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	PRPS1	P17252	P60891	PRKCA_PRPS1	1.50	0.58	2.40E-02	5.24E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	PRKCA	P17252	P17252	PRKCA_PRKCA	4.05	2.02	2.24E-03	4.71E-19	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	PRKCA	PRPS2	P17252	P11908	PRKCA_PRPS2	1.44	0.53	3.32E-02	1.02E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	PRKCG	P17252	P05129	PRKCA_PRKCG	2.64	1.40	3.23E-02	3.93E-10	No	Yes	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	HSPB1	P17252	P04792	PRKCA_HSPB1	1.84	0.88	4.00E-03	5.20E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCA	PRPSAP2	P17252	O60256	PRKCA_PRPSAP2	1.41	0.50	3.40E-02	1.39E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	MTO1	P05771	Q9Y2Z2	PRKCB_MTO1	1.85	0.88	1.78E-03	3.51E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	LEMD3	P05771	Q9Y2U8	PRKCB_LEMD3	1.56	0.64	4.69E-05	2.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	CPSF3	P05771	Q9UKF6	PRKCB_CPSF3	1.72	0.79	4.31E-03	8.15E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	STK39	P05771	Q9UEW8	PRKCB_STK39	1.70	0.76	1.83E-02	9.87E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	SLC25A10	P05771	Q9UBX3	PRKCB_SLC25A10	1.68	0.75	1.07E-02	1.12E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	DHCR7	P05771	Q9UBM7	PRKCB_DHCR7	1.85	0.89	3.61E-03	3.30E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	TECR	P05771	Q9NZ01	PRKCB_TECR	2.10	1.07	7.64E-04	5.68E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	FAM18B1	P05771	Q9NYZ1	PRKCB_FAM18B1	1.56	0.64	1.17E-02	2.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	C4ORF27	P05771	Q9NWY4	PRKCB_C4ORF27	2.06	1.04	2.86E-02	7.40E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	APOBEC3C	P05771	Q9NRW3	PRKCB_APOBEC3C	5.14	2.36	1.66E-02	3.86E-13	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	PDLIM7	P05771	Q9NR12	PRKCB_PDLIM7	1.69	0.76	3.00E-02	1.04E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	PRKCB	MAGT1	P05771	Q9H0U3	PRKCB_MAGT1	1.50	0.59	8.36E-06	3.61E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	TSEN34	P05771	Q9BSV6	PRKCB_TSEN34	1.45	0.54	2.78E-06	4.87E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	GDF15	P05771	Q99988	PRKCB_GDF15	1.74	0.80	2.39E-04	7.48E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	TAMM41	P05771	Q96BW9	PRKCB_TAMM41	1.73	0.79	3.92E-03	7.87E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST3H2A	P05771	Q7L7L0	PRKCB_HIST3H2A	1.97	0.98	1.32E-06	1.39E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2AB	P05771	P04908	PRKCB_HIST1H2AB	1.97	0.98	1.32E-06	1.39E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2AC	P05771	Q93077	PRKCB_HIST1H2AC	1.97	0.98	1.32E-06	1.39E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	RHPN1	P05771	Q8TCX5	PRKCB_RHPN1	1.63	0.70	3.86E-02	1.60E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	SRBD1	P05771	Q8N5C6	PRKCB_SRBD1	1.78	0.83	1.86E-02	5.45E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	KIAA1967	P05771	Q8N163	PRKCB_KIAA1967	1.46	0.55	6.31E-08	4.60E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	CCAR1	P05771	Q8IX12	PRKCB_CCAR1	1.87	0.90	1.44E-02	3.04E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	DOLPP1	P05771	Q86YN1	PRKCB_DOLPP1	1.48	0.57	2.72E-02	4.04E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	ZC3HC1	P05771	Q86WB0	PRKCB_ZC3HC1	1.50	0.58	2.40E-04	3.70E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HUWE1	P05771	Q7Z6Z7	PRKCB_HUWE1	1.46	0.55	1.06E-07	4.70E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST2H3A	P05771	Q71DI3	PRKCB_HIST2H3A	1.89	0.91	3.60E-05	2.63E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HSDL2	P05771	Q6YN16	PRKCB_HSDL2	1.52	0.61	1.67E-02	3.14E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST2H2AC	P05771	Q16777	PRKCB_HIST2H2AC	1.78	0.83	5.76E-08	5.53E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST2H2AA3	P05771	Q6FI13	PRKCB_HIST2H2AA3	1.78	0.83	5.76E-08	5.53E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	LRRC16A	P05771	Q5VZK9	PRKCB_LRRC16A	1.63	0.70	3.30E-02	1.61E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	EML3	P05771	Q32P44	PRKCB_EML3	1.46	0.54	1.64E-02	4.78E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	CDC37	P05771	Q16543	PRKCB_CDC37	1.83	0.87	3.55E-03	3.92E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	MLF2	P05771	Q15773	PRKCB_MLF2	1.72	0.78	8.58E-06	8.60E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	TRIP13	P05771	Q15645	PRKCB_TRIP13	1.45	0.54	2.27E-02	4.95E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	ZNF638	P05771	Q14966	PRKCB_ZNF638	1.51	0.60	2.50E-02	3.32E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	LBR	P05771	Q14739	PRKCB_LBR	1.45	0.54	2.74E-07	4.93E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	UBXN1	P05771	Q04323	PRKCB_UBXN1	1.70	0.77	2.24E-02	9.47E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	MRPS6	P05771	P82932	PRKCB_MRPS6	1.79	0.84	3.56E-03	5.16E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	TUBA4A	P05771	P68366	PRKCB_TUBA4A	2.04	1.03	5.68E-03	8.35E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	UBB	P05771	P0CG47	PRKCB_UBB	1.90	0.92	2.41E-02	2.43E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	UBC	P05771	P0CG48	PRKCB_UBC	1.90	0.92	2.41E-02	2.43E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	UBA52	P05771	P62987	PRKCB_UBA52	1.90	0.92	2.41E-02	2.43E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H4A	P05771	P62805	PRKCB_HIST1H4A	2.03	1.02	2.63E-07	9.10E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	ETF1	P05771	P62495	PRKCB_ETF1	1.50	0.59	3.30E-06	3.60E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	RPL15	P05771	P61313	PRKCB_RPL15	1.47	0.56	4.63E-07	4.35E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	SLC16A1	P05771	P53985	PRKCB_SLC16A1	1.51	0.60	4.62E-03	3.37E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	ARCN1	P05771	P48444	PRKCB_ARCN1	1.50	0.58	2.92E-07	3.72E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	RPL27A	P05771	P46776	PRKCB_RPL27A	1.54	0.62	2.88E-07	2.79E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	STAT1	P05771	P42224	PRKCB_STAT1	1.63	0.71	2.90E-07	1.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	AKT1	P05771	P31749	PRKCB_AKT1	1.46	0.55	7.73E-04	4.56E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	PRKCB	POLD1	P05771	P28340	PRKCB_POLD1	1.85	0.89	1.45E-02	3.41E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	EIF2S2	P05771	P20042	PRKCB_EIF2S2	1.47	0.56	2.01E-04	4.36E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H1C	P05771	P16403	PRKCB_HIST1H1C	1.53	0.61	1.64E-02	3.03E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	SLC2A1	P05771	P11166	PRKCB_SLC2A1	1.72	0.79	2.17E-05	8.20E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H1E	P05771	P10412	PRKCB_HIST1H1E	1.52	0.61	6.05E-03	3.15E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	H2AFJ	P05771	Q9BTM1	PRKCB_H2AFJ	1.55	0.64	8.45E-08	2.59E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2AD	P05771	P20671	PRKCB_HIST1H2AD	1.55	0.64	8.45E-08	2.59E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2AJ	P05771	Q99878	PRKCB_HIST1H2AJ	1.55	0.64	8.45E-08	2.59E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2AH	P05771	Q96KK5	PRKCB_HIST1H2AH	1.55	0.64	8.45E-08	2.59E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2AG	P05771	P0C0S8	PRKCB_HIST1H2AG	1.55	0.64	8.45E-08	2.59E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	CNP	P05771	P09543	PRKCB_CNP	1.46	0.55	4.96E-04	4.62E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BB	P05771	P33778	PRKCB_HIST1H2BB	1.82	0.87	8.60E-07	4.13E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST2H2BE	P05771	Q16778	PRKCB_HIST2H2BE	1.82	0.87	8.60E-07	4.13E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BJ	P05771	P06899	PRKCB_HIST1H2BJ	1.82	0.87	8.60E-07	4.13E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	PRKCB	P05771	P05771	PRKCB_PRKCB	5.67	2.50	7.83E-13	1.58E-14	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	PRKCB	HSPB1	P05771	P04792	PRKCB_HSPB1	1.68	0.75	4.81E-04	1.10E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	SEC24A	P05771	O95486	PRKCB_SEC24A	1.47	0.55	2.09E-03	4.50E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	RPS6KA4	P05771	O75676	PRKCB_RPS6KA4	1.75	0.81	3.33E-03	6.96E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BL	P05771	Q99880	PRKCB_HIST1H2BL	1.76	0.82	5.10E-06	6.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	H2BFS	P05771	P57053	PRKCB_H2BFS	1.76	0.82	5.10E-06	6.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BM	P05771	Q99879	PRKCB_HIST1H2BM	1.76	0.82	5.10E-06	6.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BN	P05771	Q99877	PRKCB_HIST1H2BN	1.76	0.82	5.10E-06	6.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BD	P05771	P58876	PRKCB_HIST1H2BD	1.76	0.82	5.10E-06	6.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BC	P05771	P62807	PRKCB_HIST1H2BC	1.76	0.82	5.10E-06	6.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	HIST1H2BK	P05771	O60814	PRKCB_HIST1H2BK	1.76	0.82	5.10E-06	6.18E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	ICMT	P05771	O60725	PRKCB_ICMT	1.76	0.82	8.86E-05	6.29E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	TIMM44	P05771	O43615	PRKCB_TIMM44	1.72	0.78	4.63E-04	8.38E-03	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCB	CHEK1	P05771	O14757	PRKCB_CHEK1	1.56	0.65	2.92E-03	2.41E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	DPP7	Q02156	Q9UHL4	PRKCE_DPP7	1.41	0.50	4.27E-03	3.12E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	HSP90AB2P	Q02156	Q58FF8	PRKCE_HSP90AB2P	1.36	0.45	4.78E-03	4.83E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	PCK2	Q02156	Q16822	PRKCE_PCK2	1.47	0.56	3.76E-02	1.86E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	CDC37	Q02156	Q16543	PRKCE_CDC37	2.89	1.53	1.06E-03	3.29E-09	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	ECH1	Q02156	Q13011	PRKCE_ECH1	1.43	0.51	3.98E-03	2.75E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	PRKCE	Q02156	Q02156	PRKCE_PRKCE	7.38	2.88	2.68E-06	3.06E-28	Yes	No	No	Yes	No
EGFRNetmtKRAS-Lo	PRKCE	YWHAZ	Q02156	P63104	PRKCE_YWHAZ	1.53	0.62	7.68E-04	1.06E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Lo	PRKCE	YWHAE	Q02156	P62258	PRKCE_YWHAE	1.43	0.52	1.39E-04	2.66E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	YWHAG	Q02156	P61981	PRKCE_YWHAG	1.89	0.92	1.42E-03	2.71E-04	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	SHMT2	Q02156	P34897	PRKCE_SHMT2	1.40	0.49	2.46E-02	3.49E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	ATIC	Q02156	P31939	PRKCE_ATIC	1.43	0.51	3.67E-02	2.78E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	LAP3	Q02156	P28838	PRKCE_LAP3	1.42	0.51	2.64E-02	2.98E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	SLC25A6	Q02156	P12236	PRKCE_SLC25A6	1.49	0.58	2.48E-02	1.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Lo	PRKCE	G6PD	Q02156	P11413	PRKCE_G6PD	1.41	0.50	1.40E-02	3.23E-02	Yes	No	No	No	No
