Network	Bait	Prey	Bait_UniProt	Prey_UniProt	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Hi AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                    P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Lo)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Hi	PAK1	TUBA3E	Q13153	Q6PEY2	PAK1_TUBA3E	1.99	0.99	1.15E-05	3.20E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	TUBA3C	Q13153	Q13748	PAK1_TUBA3C	1.99	0.99	1.15E-05	3.20E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	TUBA1A	Q13153	Q71U36	PAK1_TUBA1A	1.99	0.99	1.15E-05	3.20E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	HSD17B12	Q13153	Q53GQ0	PAK1_HSD17B12	2.44	1.29	1.51E-06	2.03E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	TUBB8	Q13153	Q3ZCM7	PAK1_TUBB8	1.98	0.99	4.78E-07	3.33E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	DBN1	Q13153	Q16643	PAK1_DBN1	1.82	0.87	3.46E-02	8.47E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	DDB1	Q13153	Q16531	PAK1_DDB1	1.58	0.66	3.64E-05	3.53E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	ARHGEF6	Q13153	Q15052	PAK1_ARHGEF6	8.90	3.15	7.09E-03	2.85E-18	No	Yes	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	PRPSAP1	Q13153	Q14558	PAK1_PRPSAP1	2.58	1.37	3.80E-03	8.88E-05	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	RCN2	Q13153	Q14257	PAK1_RCN2	2.28	1.19	2.95E-03	5.49E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	GIT2	Q13153	Q14161	PAK1_GIT2	7.89	2.98	2.03E-07	1.65E-16	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	SCRIB	Q13153	Q14160	PAK1_SCRIB	6.60	2.72	1.97E-05	4.28E-14	Yes	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	ARHGEF7	Q13153	Q14155	PAK1_ARHGEF7	12.28	3.62	6.20E-08	1.88E-23	No	Yes	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	PAK2	Q13153	Q13177	PAK1_PAK2	6.95	2.80	1.86E-03	9.15E-15	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	PAK1	Q13153	Q13153	PAK1_PAK1	18.47	4.21	1.05E-08	5.36E-31	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	ASPH	Q13153	Q12797	PAK1_ASPH	1.69	0.76	2.45E-03	1.85E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC25A11	Q13153	Q02978	PAK1_SLC25A11	3.67	1.88	1.56E-02	1.31E-07	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	AKAP12	Q13153	Q02952	PAK1_AKAP12	1.91	0.94	2.18E-05	5.03E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC7A5	Q13153	Q01650	PAK1_SLC7A5	2.14	1.10	7.70E-03	1.30E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC25A3	Q13153	Q00325	PAK1_SLC25A3	3.67	1.88	3.52E-08	1.33E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	TUBB4B	Q13153	P68371	PAK1_TUBB4B	2.19	1.13	3.10E-08	9.29E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	TUBA1B	Q13153	P68363	PAK1_TUBA1B	1.84	0.88	1.05E-07	7.68E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	PRPS1	Q13153	P60891	PAK1_PRPS1	2.50	1.32	3.71E-03	1.38E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	TMEM33	Q13153	P57088	PAK1_TMEM33	2.40	1.26	3.12E-07	2.62E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC25A1	Q13153	P53007	PAK1_SLC25A1	1.61	0.68	6.82E-03	2.97E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	ARL1	Q13153	P40616	PAK1_ARL1	1.67	0.74	3.04E-02	2.03E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	DNAJA1	Q13153	P31689	PAK1_DNAJA1	2.05	1.03	3.22E-05	2.25E-03	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	CAD	Q13153	P27708	PAK1_CAD	3.40	1.77	1.25E-06	6.45E-07	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	HSPA7	Q13153	P48741	PAK1_HSPA7	2.11	1.08	2.98E-08	1.52E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	HSPA6	Q13153	P17066	PAK1_HSPA6	2.11	1.08	2.98E-08	1.52E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC25A4	Q13153	P12235	PAK1_SLC25A4	3.15	1.65	1.22E-07	2.86E-06	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC25A6	Q13153	P12236	PAK1_SLC25A6	3.15	1.65	1.22E-07	2.86E-06	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	PRPS2	Q13153	P11908	PAK1_PRPS2	2.65	1.41	2.06E-03	5.56E-05	Yes	No	No	Yes	No
EGFRNetmtKRAS-Hi	PAK1	HSPA8	Q13153	P11142	PAK1_HSPA8	2.50	1.32	1.91E-09	1.39E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	MGST1	Q13153	P10620	PAK1_MGST1	1.75	0.81	1.71E-02	1.32E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	CYC1	Q13153	P08574	PAK1_CYC1	1.91	0.93	7.02E-03	5.12E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	SLC3A2	Q13153	P08195	PAK1_SLC3A2	1.92	0.94	2.18E-05	4.79E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	PAK1	HSPA1A	Q13153	P08107	PAK1_HSPA1A	2.30	1.20	3.02E-10	4.83E-04	No	No	No	No	No
