Network	Bait	Prey	Bait_UniProt	Prey_UniProt	Interaction	SILAC Ratio               (Prey abundance in EGFRNetmtKRAS-Hi AP/Prey abundance in EV control AP)	Log2 (SILAC ratio)	t-test                    P value	Significance A	Is significantly rewired (relative to EGFRNetmtKRAS-Lo)?	Is interaction in Bioplex 2.0 (Huttlin et al., 2017)?	Is interaction in Rolland et al., 2014?	Is interaction in IID (Kotlyar et al. 2016)?	Is interaction in Hein et al., 2015?
EGFRNetmtKRAS-Hi	ELK1	HSPA1A	P19419	P08107	ELK1_HSPA1A	3.90	1.96	5.52E-07	2.00E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	TUBB	P19419	P07437	ELK1_TUBB	4.39	2.13	3.09E-09	1.29E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	SLC25A5	P19419	P05141	ELK1_SLC25A5	3.78	1.92	1.55E-03	2.24E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	TUBB4A	P19419	P04350	ELK1_TUBB4A	8.11	3.02	1.10E-07	8.25E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	BAG2	P19419	O95816	ELK1_BAG2	3.27	1.71	5.29E-03	3.67E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	DNAJA2	P19419	O60884	ELK1_DNAJA2	3.33	1.73	1.35E-05	3.46E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	DPM1	P19419	O60762	ELK1_DPM1	3.06	1.61	6.82E-06	4.55E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	ICMT	P19419	O60725	ELK1_ICMT	5.58	2.48	2.88E-03	4.80E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	SLC16A3	P19419	O15427	ELK1_SLC16A3	3.09	1.63	1.77E-03	4.38E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	SPTLC1	P19419	O15269	ELK1_SPTLC1	4.41	2.14	8.41E-03	1.27E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK1	TPP1	P19419	O14773	ELK1_TPP1	3.79	1.92	4.44E-04	2.22E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	IVNS1ABP	P28324	Q9Y6Y0	ELK4_IVNS1ABP	2.40	1.26	1.29E-04	7.54E-12	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	THRAP3	P28324	Q9Y2W1	ELK4_THRAP3	2.10	1.07	4.51E-04	4.94E-09	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	CORO1C	P28324	Q9ULV4	ELK4_CORO1C	1.65	0.72	1.83E-02	4.92E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	BCLAF1	P28324	Q9NYF8	ELK4_BCLAF1	1.80	0.85	1.43E-03	2.30E-06	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	RIOK1	P28324	Q9BRS2	ELK4_RIOK1	1.58	0.66	2.39E-03	1.84E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	WDR77	P28324	Q9BQA1	ELK4_WDR77	1.29	0.37	1.70E-02	2.19E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	MYCBP	P28324	Q99417	ELK4_MYCBP	1.31	0.39	6.44E-03	1.67E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	MTMR14	P28324	Q8NCE2	ELK4_MTMR14	1.33	0.41	3.25E-02	1.21E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	LARP1	P28324	Q6PKG0	ELK4_LARP1	1.39	0.48	3.29E-02	4.66E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	ACTBL2	P28324	Q562R1	ELK4_ACTBL2	1.58	0.66	3.37E-02	1.67E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	SRSF7	P28324	Q16629	ELK4_SRSF7	1.69	0.76	1.66E-02	2.26E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	ACAP2	P28324	Q15057	ELK4_ACAP2	1.28	0.35	1.10E-02	2.61E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	PRPSAP1	P28324	Q14558	ELK4_PRPSAP1	2.53	1.34	1.23E-04	3.81E-13	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	ROCK1	P28324	Q13464	ELK4_ROCK1	1.40	0.48	1.62E-02	4.14E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	PABPC4	P28324	Q13310	ELK4_PABPC4	1.34	0.43	1.32E-03	9.57E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	AKAP12	P28324	Q02952	ELK4_AKAP12	1.46	0.55	1.25E-02	1.48E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	OTUD4	P28324	Q01804	ELK4_OTUD4	1.26	0.34	1.14E-02	3.05E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	ERH	P28324	P84090	ELK4_ERH	2.04	1.03	1.28E-04	1.59E-08	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	H3F3C	P28324	Q6NXT2	ELK4_H3F3C	1.40	0.49	1.53E-02	3.80E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST2H3A	P28324	Q71DI3	ELK4_HIST2H3A	1.40	0.49	1.53E-02	3.80E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST3H3	P28324	Q16695	ELK4_HIST3H3	1.40	0.49	1.53E-02	3.80E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	H3F3A	P28324	P84243	ELK4_H3F3A	1.40	0.49	1.53E-02	3.80E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H3A	P28324	P68431	ELK4_HIST1H3A	1.40	0.49	1.53E-02	3.80E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	ACTG1	P28324	P63261	ELK4_ACTG1	1.62	0.70	6.43E-03	8.19E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	TRA2B	P28324	P62995	ELK4_TRA2B	1.54	0.62	2.14E-02	3.60E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H4A	P28324	P62805	ELK4_HIST1H4A	1.58	0.66	1.01E-02	1.75E-04	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	SNRPD2	P28324	P62316	ELK4_SNRPD2	1.42	0.51	3.58E-04	2.73E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	SNRPD1	P28324	P62314	ELK4_SNRPD1	1.47	0.55	1.19E-03	1.28E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	PRPS1	P28324	P60891	ELK4_PRPS1	2.46	1.30	9.87E-05	1.85E-12	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	ACTB	P28324	P60709	ELK4_ACTB	1.29	0.37	1.71E-02	2.14E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	CLNS1A	P28324	P54105	ELK4_CLNS1A	1.32	0.40	1.08E-02	1.39E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	CAPZA1	P28324	P52907	ELK4_CAPZA1	1.30	0.38	1.21E-02	1.79E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	KIF11	P28324	P52732	ELK4_KIF11	1.35	0.44	1.41E-03	8.45E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	CAPZB	P28324	P47756	ELK4_CAPZB	1.45	0.54	3.30E-02	1.73E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	ELK4	P28324	P28324	ELK4_ELK4	7.89	2.98	4.67E-05	9.30E-57	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	CSDA	P28324	P16989	ELK4_CSDA	1.24	0.31	1.20E-02	4.23E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	PRPS2	P28324	P11908	ELK4_PRPS2	2.67	1.41	8.74E-05	2.04E-14	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST2H2AC	P28324	Q16777	ELK4_HIST2H2AC	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2AC	P28324	Q93077	ELK4_HIST1H2AC	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST3H2A	P28324	Q7L7L0	ELK4_HIST3H2A	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2AB	P28324	P04908	ELK4_HIST1H2AB	1.32	0.40	2.49E-03	1.33E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST2H2AA3	P28324	Q6FI13	ELK4_HIST2H2AA3	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2AJ	P28324	Q99878	ELK4_HIST1H2AJ	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2AH	P28324	Q96KK5	ELK4_HIST1H2AH	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	H2AFJ	P28324	Q9BTM1	ELK4_H2AFJ	1.32	0.40	2.49E-03	1.33E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2AD	P28324	P20671	ELK4_HIST1H2AD	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2AG	P28324	P0C0S8	ELK4_HIST1H2AG	1.32	0.40	2.49E-03	1.33E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	LUC7L3	P28324	O95232	ELK4_LUC7L3	1.71	0.78	6.48E-03	1.45E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	PPM1B	P28324	O75688	ELK4_PPM1B	1.28	0.35	9.91E-03	2.53E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BA	P28324	Q96A08	ELK4_HIST1H2BA	1.63	0.70	4.87E-03	7.22E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	H2BFS	P28324	P57053	ELK4_H2BFS	1.63	0.70	4.87E-03	7.22E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BL	P28324	Q99880	ELK4_HIST1H2BL	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BM	P28324	Q99879	ELK4_HIST1H2BM	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BN	P28324	Q99877	ELK4_HIST1H2BN	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BH	P28324	Q93079	ELK4_HIST1H2BH	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST2H2BF	P28324	Q5QNW6	ELK4_HIST2H2BF	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BC	P28324	P62807	ELK4_HIST1H2BC	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BD	P28324	P58876	ELK4_HIST1H2BD	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	HIST1H2BK	P28324	O60814	ELK4_HIST1H2BK	1.63	0.70	4.87E-03	7.22E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	PRPSAP2	P28324	O60256	ELK4_PRPSAP2	2.87	1.52	8.20E-05	2.46E-16	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	PRMT5	P28324	O14744	ELK4_PRMT5	1.31	0.39	1.09E-02	1.56E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	ELK4	MYO1C	P28324	O00159	ELK4_MYO1C	1.47	0.55	2.25E-03	1.36E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	TBL2	P11362	Q9Y4P3	FGFR1_TBL2	1.77	0.82	4.20E-02	4.76E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	DIMT1	P11362	Q9UNQ2	FGFR1_DIMT1	1.91	0.94	2.52E-02	2.79E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	SPATS2L	P11362	Q9NUQ6	FGFR1_SPATS2L	2.06	1.04	4.58E-02	1.63E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	FARSB	P11362	Q9NSD9	FGFR1_FARSB	1.96	0.97	4.94E-02	2.40E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	HSD17B10	P11362	Q99714	FGFR1_HSD17B10	2.21	1.14	3.96E-02	9.30E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	NUFIP2	P11362	Q7Z417	FGFR1_NUFIP2	2.59	1.38	4.98E-02	2.24E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	RG9MTD1	P11362	Q7L0Y3	FGFR1_RG9MTD1	2.54	1.34	2.51E-02	2.76E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	SND1	P11362	Q7KZF4	FGFR1_SND1	1.87	0.90	4.16E-02	3.29E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	RPL22L1	P11362	Q6P5R6	FGFR1_RPL22L1	1.90	0.92	9.62E-03	2.96E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	OBSCN	P11362	Q5VST9	FGFR1_OBSCN	5.10	2.35	9.89E-03	4.59E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	CDC37	P11362	Q16543	FGFR1_CDC37	5.58	2.48	6.12E-03	1.09E-07	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	AIMP2	P11362	Q13155	FGFR1_AIMP2	2.02	1.02	3.55E-02	1.86E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	RARS	P11362	P54136	FGFR1_RARS	1.82	0.86	2.56E-02	3.98E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	FGFR1	P11362	P11362	FGFR1_FGFR1	18.49	4.21	5.96E-05	4.79E-19	Yes	No	No	Yes	Yes
EGFRNetmtKRAS-Hi	FGFR1	SRP19	P11362	P09132	FGFR1_SRP19	3.11	1.64	2.91E-02	3.41E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	HSP90AB3P	P11362	Q58FF7	FGFR1_HSP90AB3P	1.83	0.87	1.56E-02	3.80E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	HSP90AB1	P11362	P08238	FGFR1_HSP90AB1	1.83	0.87	1.56E-02	3.80E-02	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	FGFR1	CDK1	P11362	P06493	FGFR1_CDK1	9.95	3.31	8.52E-05	1.87E-12	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	BAG2	P11362	O95816	FGFR1_BAG2	3.67	1.87	2.91E-05	4.86E-05	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FGFR1	POLRMT	P11362	O00411	FGFR1_POLRMT	2.06	1.04	3.96E-02	1.65E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CORO1C	P09769	Q9ULV4	FGR_CORO1C	1.64	0.71	3.30E-07	9.29E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	ATAD3A	P09769	Q9NVI7	FGR_ATAD3A	1.56	0.64	8.33E-06	3.79E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	SLC25A18	P09769	Q9H1K4	FGR_SLC25A18	1.64	0.71	2.58E-02	9.49E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	SLC25A22	P09769	Q9H936	FGR_SLC25A22	1.64	0.71	2.58E-02	9.49E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CCT7	P09769	Q99832	FGR_CCT7	2.02	1.01	5.52E-07	4.70E-08	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	PGAM5	P09769	Q96HS1	FGR_PGAM5	1.35	0.44	7.13E-03	1.11E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	HSP90AB2P	P09769	Q58FF8	FGR_HSP90AB2P	2.44	1.29	3.94E-06	6.15E-12	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	QPCT	P09769	Q16769	FGR_QPCT	18.97	4.25	1.53E-02	2.08E-111	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CDC37	P09769	Q16543	FGR_CDC37	7.66	2.94	1.04E-08	2.07E-54	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	PRPSAP1	P09769	Q14558	FGR_PRPSAP1	1.32	0.40	3.24E-02	1.80E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	FKBP5	P09769	Q13451	FGR_FKBP5	1.26	0.33	4.38E-02	4.35E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	GSTO1	P09769	P78417	FGR_GSTO1	1.53	0.61	2.65E-02	6.88E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CCT2	P09769	P78371	FGR_CCT2	2.11	1.08	9.48E-07	7.37E-09	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	RPL23	P09769	P62829	FGR_RPL23	1.26	0.34	2.45E-04	3.95E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	PRPS1	P09769	P60891	FGR_PRPS1	1.37	0.46	2.56E-02	8.38E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	ACTB	P09769	P60709	FGR_ACTB	1.30	0.37	6.16E-09	2.56E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	HNRNPA3	P09769	P51991	FGR_HNRNPA3	1.29	0.37	5.70E-04	2.75E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CCT4	P09769	P50991	FGR_CCT4	2.07	1.05	5.97E-07	1.83E-08	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CCT8	P09769	P50990	FGR_CCT8	2.11	1.08	7.46E-07	6.61E-09	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CCT3	P09769	P49368	FGR_CCT3	2.12	1.08	8.15E-07	6.06E-09	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CCT5	P09769	P48643	FGR_CCT5	1.94	0.96	9.78E-07	2.28E-07	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CCT6A	P09769	P40227	FGR_CCT6A	2.04	1.03	5.89E-07	3.24E-08	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	CAD	P09769	P27708	FGR_CAD	1.44	0.53	9.71E-05	2.74E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	HNRNPA2B1	P09769	P22626	FGR_HNRNPA2B1	1.28	0.36	1.02E-03	3.11E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	TCP1	P09769	P17987	FGR_TCP1	2.12	1.09	9.92E-07	5.42E-09	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	PRPS2	P09769	P11908	FGR_PRPS2	1.33	0.41	4.87E-02	1.49E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	FGR	P09769	P09769	FGR_FGR	12.83	3.68	8.54E-09	2.51E-84	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	FGR	HSP90AB3P	P09769	Q58FF7	FGR_HSP90AB3P	2.47	1.31	6.45E-07	2.93E-12	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	HSP90AB1	P09769	P08238	FGR_HSP90AB1	2.47	1.31	6.45E-07	2.93E-12	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	FGR	YES1	P09769	P07947	FGR_YES1	35.71	5.16	5.30E-07	1.98E-163	No	Yes	No	No	No
EGFRNetmtKRAS-Hi	FGR	HNRNPCL1	P09769	O60812	FGR_HNRNPCL1	1.31	0.39	5.11E-04	2.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	HNRNPC	P09769	P07910	FGR_HNRNPC	1.31	0.39	5.11E-04	2.20E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	HSP90AA1	P09769	P07900	FGR_HSP90AA1	2.76	1.46	6.85E-07	6.33E-15	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	FGR	CDK1	P09769	P06493	FGR_CDK1	91.33	6.51	1.75E-07	3.38E-259	No	No	No	No	No
EGFRNetmtKRAS-Hi	FGR	BAG2	P09769	O95816	FGR_BAG2	1.45	0.54	1.52E-03	2.34E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	IVNS1ABP	P06241	Q9Y6Y0	FYN_IVNS1ABP	2.08	1.06	2.55E-02	3.06E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	SLC4A1AP	P06241	Q9BWU0	FYN_SLC4A1AP	1.35	0.44	9.05E-04	2.18E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	USP7	P06241	Q93009	FYN_USP7	1.59	0.67	3.77E-06	8.35E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HSPH1	P06241	Q92598	FYN_HSPH1	2.48	1.31	3.88E-05	2.82E-10	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	SERBP1	P06241	Q8NC51	FYN_SERBP1	1.29	0.37	4.37E-03	4.35E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	MEPCE	P06241	Q7L2J0	FYN_MEPCE	1.30	0.38	3.57E-03	4.16E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	CDC37	P06241	Q16543	FYN_CDC37	2.65	1.41	2.47E-07	1.45E-11	No	Yes	No	Yes	No
EGFRNetmtKRAS-Hi	FYN	LBR	P06241	Q14739	FYN_LBR	1.33	0.41	5.13E-05	2.82E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	PRPSAP1	P06241	Q14558	FYN_PRPSAP1	2.14	1.10	8.97E-03	1.12E-07	Yes	No	No	Yes	No
EGFRNetmtKRAS-Hi	FYN	TRIM28	P06241	Q13263	FYN_TRIM28	1.50	0.59	1.27E-03	3.07E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	SNRPD2	P06241	P62316	FYN_SNRPD2	1.29	0.37	3.19E-03	4.57E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	PRPS1	P06241	P60891	FYN_PRPS1	2.26	1.18	8.76E-03	1.37E-08	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	EIF5	P06241	P55010	FYN_EIF5	1.44	0.52	2.35E-02	7.52E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	KIF11	P06241	P52732	FYN_KIF11	1.32	0.40	5.10E-03	3.14E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HSPA4	P06241	P34932	FYN_HSPA4	1.82	0.86	1.21E-03	2.44E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	MAT2A	P06241	P31153	FYN_MAT2A	1.41	0.50	1.98E-04	1.02E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	VARS	P06241	P26640	FYN_VARS	1.37	0.46	4.89E-03	1.68E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	PRKACB	P06241	P22694	FYN_PRKACB	1.39	0.47	2.09E-02	1.42E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	FBL	P06241	P22087	FYN_FBL	2.02	1.02	4.42E-03	8.29E-07	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HMGA1	P06241	P17096	FYN_HMGA1	1.28	0.36	3.67E-02	4.82E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	DSP	P06241	P15924	FYN_DSP	1.72	0.78	1.10E-02	1.16E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	TRIM27	P06241	P14373	FYN_TRIM27	1.54	0.63	5.33E-03	1.69E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	EEF2	P06241	P13639	FYN_EEF2	1.31	0.39	1.21E-02	3.68E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	SRC	P06241	P12931	FYN_SRC	9.42	3.24	1.66E-04	1.38E-53	No	Yes	No	Yes	No
EGFRNetmtKRAS-Hi	FYN	PRPS2	P06241	P11908	FYN_PRPS2	2.21	1.15	9.87E-03	3.18E-08	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HSPA8	P06241	P11142	FYN_HSPA8	1.88	0.91	5.29E-09	9.05E-06	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HSPA5	P06241	P11021	FYN_HSPA5	1.76	0.81	9.55E-05	6.83E-05	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HIST1H1E	P06241	P10412	FYN_HIST1H1E	1.32	0.40	1.84E-02	3.12E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HNRNPA1L2	P06241	Q32P51	FYN_HNRNPA1L2	1.30	0.38	1.81E-03	4.13E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HNRNPA1	P06241	P09651	FYN_HNRNPA1	1.30	0.38	1.81E-03	4.13E-02	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HSP90AB1	P06241	P08238	FYN_HSP90AB1	1.57	0.65	2.76E-07	1.16E-03	No	Yes	No	Yes	No
EGFRNetmtKRAS-Hi	FYN	HSPA1A	P06241	P08107	FYN_HSPA1A	1.67	0.74	3.11E-09	2.65E-04	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	HSP90AA1	P06241	P07900	FYN_HSP90AA1	1.49	0.57	5.81E-05	3.80E-03	No	Yes	No	Yes	No
EGFRNetmtKRAS-Hi	FYN	NPM1	P06241	P06748	FYN_NPM1	1.51	0.60	2.23E-05	2.67E-03	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	FYN	P06241	P06241	FYN_FYN	3.30	1.72	1.64E-04	1.75E-16	No	No	No	Yes	No
EGFRNetmtKRAS-Hi	FYN	AHSG	P06241	P02765	FYN_AHSG	2.16	1.11	2.21E-02	8.67E-08	No	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	PRPSAP2	P06241	O60256	FYN_PRPSAP2	2.31	1.21	9.37E-03	5.61E-09	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	FYN	SNRPG	P06241	P62308	FYN_SNRPG	1.32	0.41	2.56E-02	3.03E-02	Yes	No	No	No	No
EGFRNetmtKRAS-Hi	GAB1	CALML5	Q13480	Q9NZT1	GAB1_CALML5	4.43	2.15	4.58E-02	7.15E-13	No	No	No	No	No
EGFRNetmtKRAS-Hi	GAB1	ARL6IP4	Q13480	Q66PJ3	GAB1_ARL6IP4	1.81	0.85	2.50E-02	2.72E-03	No	No	No	No	No
EGFRNetmtKRAS-Hi	GAB1	GAB1	Q13480	Q13480	GAB1_GAB1	7.89	2.98	5.95E-07	3.23E-23	Yes	No	No	No	No
