uniprot_a	uniprot_b	gene_a	gene_b	method	det_method	first_author	reference	mi-score	expansion_methd	role_a	role_b
uniprotkb:P01116-1	uniprotkb:O00270	KRAS	GPR31	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Fehrenbacher N. et al.(2017)	intact:EBI-34583550|pubmed:28619714|imex:IM-29542	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01112-2	uniprotkb:P52306-5	HRAS	RAP1GDS1	psi-mi:"MI:1112"(two hybrid prey pooling approach)	psi-mi:"MI:0915"(physical association)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	intact-miscore:0.63|author-based confidence:0.802444203458	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049-1	uniprotkb:Q02750	RAF1	MAP2K1	psi-mi:"MI:0107"(surface plasmon resonance)	psi-mi:"MI:0407"(direct interaction)	Lito P. et al.(2014)	intact:EBI-9549228|pubmed:24746704|imex:IM-22983	intact-miscore:0.44	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-1	uniprotkb:P49354	KRAS	FNTA	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Kuchay S. et al.(2019)	intact:EBI-21916414|pubmed:31209342|imex:IM-30307	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:Q02750-2	MAP2K2	MAP2K1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P01116-2	RAF1	KRAS	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0407"(direct interaction)	Alvarez-Moya B. et al.(2010)	intact:EBI-3401463|pubmed:20802526|imex:IM-15312	intact-miscore:0.68	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-2	uniprotkb:P04049	KRAS	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Alvarez-Moya B. et al.(2010)	intact:EBI-3401463|pubmed:20802526|imex:IM-15312	intact-miscore:0.68	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-2	uniprotkb:P04049	KRAS	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Alvarez-Moya B. et al.(2010)	intact:EBI-3401463|pubmed:20802526|imex:IM-15312	intact-miscore:0.68	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:Q96II5	MAP2K2	ARAF	psi-mi:"MI:0231"(mammalian protein protein interaction trap)	psi-mi:"MI:0915"(physical association)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	intact-miscore:0.6	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P01116-2	BRAF	KRAS	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01116-2	uniprotkb:P49354	KRAS	FNTA	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Kuchay S. et al.(2019)	intact:EBI-21916414|pubmed:31209342|imex:IM-30307	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:P01111	ARAF	NRAS	psi-mi:"MI:1112"(two hybrid prey pooling approach)	psi-mi:"MI:0915"(physical association)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	intact-miscore:0.56|author-based confidence:0.82158939012	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:H7C560	MAP2K1	BRAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:Q02750-2	BRAF	MAP2K1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	So J. et al.(2015)	intact:EBI-10054708|pubmed:25852190|imex:IM-23674	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Yin XL. et al.(2002)	intact:EBI-1991645|pubmed:11909642|imex:IM-19677	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Yin XL. et al.(2002)	intact:EBI-1991645|pubmed:11909642|imex:IM-19677	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0407"(direct interaction)	Yin XL. et al.(2002)	intact:EBI-1991645|pubmed:11909642|imex:IM-19677	intact-miscore:0.91	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P36507	ARAF	MAP2K2	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P10398	MAP2K2	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Lito P. et al.(2014)	intact:EBI-9549228|pubmed:24746704|imex:IM-22983	intact-miscore:0.91	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q9BTE6-2	ARAF	AARSD1	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:P10398	NRAS	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.48	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:P10398	NRAS	ARAF	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.48	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q6PK50	ARAF	HSP90AB1	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q9BPW0	ARAF	PPP5C	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q9BPW0	ARAF	PPP5C	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q6RW13	ARAF	AGTRAP	psi-mi:"MI:1112"(two hybrid prey pooling approach)	psi-mi:"MI:0915"(physical association)	Rolland T. et al.(2014)	intact:EBI-9988654|pubmed:25416956|imex:IM-23318	intact-miscore:0.56	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q6RW13	ARAF	AGTRAP	psi-mi:"MI:0397"(two hybrid array)	psi-mi:"MI:0915"(physical association)	Rolland T. et al.(2014)	intact:EBI-9988654|pubmed:25416956|imex:IM-23318	intact-miscore:0.56	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:P58340	ARAF	MLF1	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:P58340	ARAF	MLF1	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:P36507	NRAS	MAP2K2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.35	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P10398	MAP2K1	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Hein MY. et al.(2015)	intact:EBI-10888342|pride:PXD002829|pride:PXD002815|doi:10.1016/j.cell.2015.09.053|pubmed:26496610|imex:IM-24272	intact-miscore:0.86	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P10398	MAP2K1	ARAF	psi-mi:"MI:0676"(tandem affinity purification)	psi-mi:"MI:0914"(association)	Gloeckner CJ. et al.(2007)	intact:EBI-1990362|pubmed:17979178|imex:IM-11897	intact-miscore:0.86	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P10398	MAP2K1	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.86	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:Q02750	ARAF	MAP2K1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.86	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P10398	MAP2K1	ARAF	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.86	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P10398	MAP2K1	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.86	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P10398	MAP2K1	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Lito P. et al.(2014)	intact:EBI-9549228|pubmed:24746704|imex:IM-22983	intact-miscore:0.86	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P04049	ARAF	RAF1	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Hatzivassiliou G. et al.(2010)	intact:EBI-15830286|doi:10.1038/nature08833|pubmed:20130576|imex:IM-15208	intact-miscore:0.64	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P04049	ARAF	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.64	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P04049	ARAF	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.64	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q96RS6	ARAF	NUDCD1	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P36507	MAP2K1	MAP2K2	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.64	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:Q02750	MAP2K2	MAP2K1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.64	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P36507	MAP2K1	MAP2K2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.64	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:Q02750	MAP2K2	MAP2K1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	intact-miscore:0.64	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P04049	MAP2K2	RAF1	psi-mi:"MI:0018"(two hybrid)	psi-mi:"MI:0915"(physical association)	Yin XL. et al.(2002)	intact:EBI-1991645|pubmed:11909642|imex:IM-19677	intact-miscore:0.85	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P04049	MAP2K2	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.85	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P04049	MAP2K2	RAF1	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0914"(association)	Buljan M. et al.(2020)	intact:EBI-27101182|doi:10.1016/j.molcel.2020.07.001|pubmed:32707033|imex:IM-29257	intact-miscore:0.85	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P04049	MAP2K2	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	intact-miscore:0.85	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P04049	MAP2K2	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Lito P. et al.(2014)	intact:EBI-9549228|pubmed:24746704|imex:IM-22983	intact-miscore:0.85	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P15056	ARAF	BRAF	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Hatzivassiliou G. et al.(2010)	intact:EBI-15830286|doi:10.1038/nature08833|pubmed:20130576|imex:IM-15208	intact-miscore:0.89	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P10398	BRAF	ARAF	psi-mi:"MI:0676"(tandem affinity purification)	psi-mi:"MI:0914"(association)	Gloeckner CJ. et al.(2007)	intact:EBI-1990362|pubmed:17979178|imex:IM-11897	intact-miscore:0.89	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P10398	BRAF	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.89	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P10398	uniprotkb:P15056	ARAF	BRAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.89	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P10398	BRAF	ARAF	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	intact-miscore:0.89	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P10398	BRAF	ARAF	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0915"(physical association)	Mo X. et al.(2022)	intact:EBI-32716907|doi:10.1016/j.cell.2022.04.014|pubmed:35512704|imex:IM-29493	intact-miscore:0.89	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P10398	BRAF	ARAF	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0915"(physical association)	Mo X. et al.(2022)	intact:EBI-32716907|doi:10.1016/j.cell.2022.04.014|pubmed:35512704|imex:IM-29493	intact-miscore:0.89	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P27361	MAP2K1	MAPK3	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Garcia R. et al.(2009)	intact:EBI-8563650|doi:10.1038/embor.2009.4|mint:MINT-7014129|pubmed:19197339|mint:MINT-7014125|imex:IM-11690	intact-miscore:0.5	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q02750	uniprotkb:P27361	MAP2K1	MAPK3	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Garcia R. et al.(2009)	intact:EBI-8563650|doi:10.1038/embor.2009.4|mint:MINT-7014129|pubmed:19197339|mint:MINT-7014125|imex:IM-11690	intact-miscore:0.5	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:Q96II5	uniprotkb:Q16543	ARAF	CDC37	psi-mi:"MI:0729"(luminescence based mammalian interactome mapping)	psi-mi:"MI:0915"(physical association)	Taipale M. et al.(2014)	intact:EBI-9254300|pubmed:25036637|imex:IM-22301	intact-miscore:0.4	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:P04049	NRAS	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Marquette A. et al.(2011)	intact:EBI-15920545|doi:10.1038/nsmb.2022|pubmed:21478863|imex:IM-16100	intact-miscore:0.93	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:P04049	NRAS	RAF1	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Swaney DL. et al.(2021)	intact:EBI-34583960|pubmed:34591642|imex:IM-29816	intact-miscore:0.93	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P01111	RAF1	NRAS	psi-mi:"MI:0096"(pull down)	psi-mi:"MI:0915"(physical association)	Ibiza S. et al.(2008)	intact:EBI-15716871|doi:10.1073/pnas.0711062105|pubmed:18641128|imex:IM-9410	intact-miscore:0.93	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P01111	RAF1	NRAS	psi-mi:"MI:1112"(two hybrid prey pooling approach)	psi-mi:"MI:0915"(physical association)	Luck K. et al.(2017)	intact:EBI-11784632|pubmed:32296183|imex:IM-25472	intact-miscore:0.93|author-based confidence:0.726137823937	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P04049	uniprotkb:P01111	RAF1	NRAS	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Kennedy SA et al.(2019)	intact:EBI-22274189|pubmed:31980649|imex:IM-26434	intact-miscore:0.93	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P01111	uniprotkb:P04049	NRAS	RAF1	psi-mi:"MI:1314"(proximity-dependent biotin identification)	psi-mi:"MI:2364"(proximity)	Adhikari H. et al.(2018)	intact:EBI-27027937|pubmed:30194290|imex:IM-29117	intact-miscore:0.93	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P36507	uniprotkb:P15056	MAP2K2	BRAF	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	psi-mi:"MI:0915"(physical association)	Moriceau G. et al.(2015)	intact:EBI-10819504|pubmed:25600339|imex:IM-24173	intact-miscore:0.89	-	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P36507	BRAF	MAP2K2	psi-mi:"MI:0676"(tandem affinity purification)	psi-mi:"MI:0914"(association)	Gloeckner CJ. et al.(2007)	intact:EBI-1990362|pubmed:17979178|imex:IM-11897	intact-miscore:0.89	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
uniprotkb:P15056	uniprotkb:P36507	BRAF	MAP2K2	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	psi-mi:"MI:0914"(association)	Huttlin EL. et al.(2017)	intact:EBI-15481134|doi:10.1038/nature22366|pubmed:28514442|imex:IM-25778	intact-miscore:0.89	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)
