ERK	MEK	RAF	RAS	Gene.names
EIF2AK1	0	0	1	0	EIF2AK1
EIF4EBP1	1	0	0	0	EIF4EBP1
EIF4G2	0	0	0	1	EIF4G2
ELMO1	0	1	0	0	ELMO1
ELOVL2	0	0	1	0	ELOVL2
ELOVL7	0	0	0	1	ELOVL7
ELP1	0	0	0	1	ELP1
ELP2	0	0	0	1	ELP2
ELP3	0	0	0	1	ELP3
ELP4	0	0	0	1	ELP4
ELP5	0	0	0	1	ELP5
EMC9	0	0	0	1	EMC9
EMILIN2	0	0	1	0	EMILIN2
EMILIN3	0	0	1	0	EMILIN3
ENGASE	1	0	0	0	ENGASE
ENTR1	0	0	1	0	ENTR1
ERCC6L	0	1	0	0	ERCC6L
ERF	1	0	0	0	ERF
ERICH1	1	0	0	0	ERICH1
ERRFI1	1	0	0	0	ERRFI1
ESRRA	0	0	1	0	ESRRA
ESRRG	0	0	1	0	ESRRG
ETV3	1	0	0	0	ETV3
EYA2	0	0	1	0	EYA2
EYA3	1	0	0	0	EYA3
FADS2	0	0	1	1	FADS2
FADS3	0	0	0	1	FADS3
FAM111B	0	0	1	0	FAM111B
FAM193B	0	1	0	0	FAM193B
FAM200B	0	0	0	1	FAM200B
FAM83D	1	0	0	0	FAM83D
FAM89A	0	0	1	0	FAM89A
FAM91A1	0	0	1	0	FAM91A1
FANCM	0	0	0	1	FANCM
FAR2	0	0	0	1	FAR2
FASN	0	1	0	0	FASN
FBH1	1	1	1	1	FBH1
FBLIM1	0	1	0	0	FBLIM1
FBN1	0	0	0	1	FBN1
FBN2	0	0	1	0	FBN2
FBRS	1	0	0	0	FBRS
FBXL3	0	0	1	0	FBXL3
FBXL6	0	1	0	0	FBXL6
FBXO8	0	0	1	0	FBXO8
FBXW5	0	0	1	0	FBXW5
FBXW8	0	0	1	0	FBXW8
FEM1C	0	0	1	0	FEM1C
FGF12	0	0	1	0	FGF12
FGF13	0	0	1	0	FGF13
FGFR1	1	0	0	0	FGFR1
FIGN	1	0	0	0	FIGN
FIS1	0	0	0	1	FIS1
FKBP4	0	0	1	0	FKBP4
FKBP5	1	1	1	0	FKBP5
FKBP8	0	0	1	0	FKBP8
FKBPL	0	0	1	0	FKBPL
FLII	0	0	1	0	FLII
FLYWCH2	1	0	0	0	FLYWCH2
FNDC10	0	0	0	1	FNDC10
FOXC2	0	0	0	1	FOXC2
FOXN3	1	0	1	0	FOXN3
FOXRED2	0	0	1	0	FOXRED2
FRAT2	1	0	0	0	FRAT2
FRG1	0	0	0	1	FRG1
FRMD4A	1	0	0	0	FRMD4A
FRS2	1	0	0	0	FRS2
FRS3	1	0	0	0	FRS3
FSCN1	0	0	1	0	FSCN1
FSTL4	0	0	1	0	FSTL4
FTSJ1	0	0	1	0	FTSJ1
FUT11	0	0	0	1	FUT11
GAB1	1	0	0	0	GAB1
GABRB3	0	0	1	0	GABRB3
GALNT12	0	0	0	1	GALNT12
GAPDHS	0	0	1	0	GAPDHS
GAS6	0	0	0	1	GAS6
GATD1	0	0	1	0	GATD1
GCNT1	0	0	1	0	GCNT1
GDAP1L1	0	0	1	0	GDAP1L1
GDPD1	0	0	0	1	GDPD1
GET1	0	0	0	1	GET1
GLMN	0	0	1	0	GLMN
GNA11	0	0	0	1	GNA11
GNAI1	0	0	0	1	GNAI1
GNAI2	0	0	0	1	GNAI2
GNAI3	0	0	0	1	GNAI3
GNAO1	0	0	0	1	GNAO1
GNG10	0	0	0	1	GNG10
GNG4	0	0	0	1	GNG4
GNL1	0	0	0	1	GNL1
GPAM	0	0	1	0	GPAM
GPC6	0	0	1	0	GPC6
GPN1	0	0	1	0	GPN1
GPN2	0	0	1	0	GPN2
GPRASP2	0	0	1	0	GPRASP2
GPS1	0	0	0	1	GPS1
GREB1	0	0	1	0	GREB1
GRIK1	0	0	0	1	GRIK1
GRIP1	1	0	0	0	GRIP1
GRSF1	1	0	0	0	GRSF1
GTF2A1	0	0	0	1	GTF2A1
GTSE1	1	0	0	0	GTSE1
GUCD1	0	0	1	1	GUCD1
H1-4	0	0	0	1	H1-4
HAPLN3	0	0	1	0	HAPLN3
HCN4	1	0	0	0	HCN4
HDGFL2	0	0	0	1	HDGFL2
HECTD1	0	0	1	0	HECTD1
HECTD2	0	0	1	0	HECTD2
HERC1	0	0	1	0	HERC1
HERC2	0	0	1	0	HERC2
HGH1	0	0	1	0	HGH1
HGS	0	1	0	0	HGS
HIVEP1	1	0	0	0	HIVEP1
HLA-DQB1	0	0	0	1	HLA-DQB1
HMGCS2	0	0	0	1	HMGCS2
HMGN1	0	0	0	1	HMGN1
HMMR	1	0	0	0	HMMR
HNF4G	0	0	1	0	HNF4G
HPF1	0	0	1	0	HPF1
HPS4	1	0	0	0	HPS4
HRAS	0	0	1	1	HRAS
HSP90AA1	1	1	1	0	HSP90AA1
HSP90AA2P	0	0	1	0	HSP90AA2P
HSP90AA4P	1	1	1	0	HSP90AA4P
HSP90AA5P	1	0	1	0	HSP90AA5P
HSP90AB1	1	1	1	0	HSP90AB1
HSP90AB2P	1	1	1	0	HSP90AB2P
HSP90AB3P	0	1	1	0	HSP90AB3P
HSP90AB4P	1	1	1	0	HSP90AB4P
HSPA1A;HSPA1B	0	1	0	0	HSPA1A;HSPA1B
HSPA1L	0	1	0	0	HSPA1L
HSPA2	0	1	0	0	HSPA2
HSPA4	0	1	0	0	HSPA4
HSPA4L	0	1	1	0	HSPA4L
HSPA5	0	1	1	0	HSPA5
HSPA6	0	1	1	0	HSPA6
HSPA8	0	1	1	0	HSPA8
HSPA9	0	1	0	0	HSPA9
HSPBP1	0	1	1	0	HSPBP1
HSPE1	0	0	0	1	HSPE1
HSPH1	0	1	0	0	HSPH1
HUWE1	0	0	1	0	HUWE1
HYCC2	0	0	1	0	HYCC2
HYI	0	0	1	0	HYI
ID3	1	1	1	1	ID3
IDI1	0	1	1	1	IDI1
IFITM1	0	0	0	1	IFITM1
IFRD2	0	0	0	1	IFRD2
ILK	1	0	0	0	ILK
IPO9	0	0	0	1	IPO9
IPP	1	0	0	0	IPP
IPPK	0	1	1	0	IPPK
IRS2	1	0	1	0	IRS2
IRS4	0	0	1	0	IRS4
ITGA1	0	0	0	1	ITGA1
ITGA4	0	1	0	1	ITGA4
ITPKC	1	0	0	0	ITPKC
ITPR2	0	0	1	0	ITPR2
ITPR3	0	0	1	0	ITPR3
JAG2	0	0	1	0	JAG2
JUNB	0	1	0	0	JUNB
KATNAL1	1	0	0	0	KATNAL1
KATNIP	1	0	0	0	KATNIP
KCNQ2	0	0	1	0	KCNQ2
KCTD10	0	1	1	1	KCTD10
KCTD12	0	0	1	0	KCTD12
KCTD16	0	0	0	1	KCTD16
KCTD20	1	0	0	0	KCTD20
KDM2A	0	0	1	0	KDM2A
KDM8	1	1	0	0	KDM8
KEAP1	0	1	1	0	KEAP1
KIAA0232	0	0	1	0	KIAA0232
KIDINS220	1	0	0	0	KIDINS220
KIF11	0	0	0	1	KIF11
KIF13A	0	0	1	0	KIF13A
KIF16B	1	0	0	0	KIF16B
KIF7	1	0	0	0	KIF7
KIFBP	0	0	1	0	KIFBP
KLHL12	0	0	1	0	KLHL12
KLHL13	0	1	0	0	KLHL13
KLHL15	0	0	1	0	KLHL15
KLHL18	0	0	1	0	KLHL18
KLHL21	0	0	1	0	KLHL21
KLHL25	0	0	1	0	KLHL25
KMT5A	0	0	1	0	KMT5A
KNSTRN	0	1	0	0	KNSTRN
KPRP	0	0	0	1	KPRP
KRAS	0	0	1	1	KRAS
KSR1	0	1	0	0	KSR1
KSR2	0	1	0	0	KSR2
LACTB	0	0	1	1	LACTB
LARGE2	0	0	1	0	LARGE2
LCLAT1	0	0	0	1	LCLAT1
LDLRAD3	0	0	1	0	LDLRAD3
LEMD2	1	0	0	0	LEMD2
LEMD3	1	0	0	0	LEMD3
LGALS3BP	0	0	1	0	LGALS3BP
LGALS7	0	0	0	1	LGALS7
LGALS8	0	0	1	1	LGALS8
LHX4	1	0	0	0	LHX4
LIMS1	1	0	0	0	LIMS1
LMBRD2	1	0	0	0	LMBRD2
LMO1	1	0	1	0	LMO1
LONP1	1	0	1	0	LONP1
LRCH3	0	1	0	0	LRCH3
LRP2	0	0	1	0	LRP2
LRP5	0	0	1	0	LRP5
LRP6	0	0	1	0	LRP6
LRRC1	0	0	1	0	LRRC1
LSAMP	1	1	1	1	LSAMP
LSS	0	0	1	0	LSS
LTBP4	0	0	0	1	LTBP4
LYN	0	0	0	1	LYN
LYPLA2	0	0	1	0	LYPLA2
LZTR1	0	0	0	1	LZTR1
MAGED1	0	1	0	0	MAGED1
MAGED4	0	0	1	0	MAGED4
MAGT1	0	0	0	1	MAGT1
MAP2K1	0	1	1	0	MAP2K1
MAP2K2	1	1	1	0	MAP2K2
MAP3K8	0	1	0	0	MAP3K8
MAPK1	1	1	0	0	MAPK1
MAPK14	0	0	0	1	MAPK14
MAPK3	1	0	0	0	MAPK3
MAPK4	1	0	1	0	MAPK4
MAPK6	0	0	1	0	MAPK6
MAPK8IP2	0	0	1	0	MAPK8IP2
MAPK8IP3	0	0	1	0	MAPK8IP3
MARCHF6	0	0	1	0	MARCHF6
MARCHF7	0	0	1	0	MARCHF7
MARK3	0	0	1	0	MARK3
MAT2A	0	1	1	1	MAT2A
MB21D2	0	1	1	0	MB21D2
MCM4	0	0	1	0	MCM4
MCMBP	0	0	1	0	MCMBP
MDK	0	0	0	1	MDK
MEA1	0	1	0	0	MEA1
MEST	1	1	1	1	MEST
METAP2	0	0	1	0	METAP2
MFAP2	0	0	0	1	MFAP2
MFAP3	0	1	0	0	MFAP3
MIDEAS	1	0	0	0	MIDEAS
MKNK1	1	0	0	0	MKNK1
MKNK2	1	1	0	0	MKNK2
MLH3	0	0	1	0	MLH3
MOK	0	0	0	1	MOK
MPLKIP	0	0	1	0	MPLKIP
MRAP2	0	0	0	1	MRAP2
MRTFA	1	0	0	0	MRTFA
MRTFB	1	0	0	0	MRTFB
MTAP	0	0	0	1	MTAP
MTCL1	0	0	1	0	MTCL1
MTCL2	0	0	1	0	MTCL2
MTF1	0	0	0	1	MTF1
MTHFD2L	0	0	1	0	MTHFD2L
MTHFR	0	0	0	1	MTHFR
MTR	0	0	1	0	MTR
MTRR	0	1	0	0	MTRR
MYH9	1	0	0	0	MYH9
MYO1B	0	0	1	0	MYO1B
MYO1C	0	0	1	1	MYO1C
MYOM2	0	0	0	1	MYOM2
MYPN	0	1	0	0	MYPN
MZT1	1	0	1	0	MZT1
MZT2B	1	0	0	0	MZT2B
NAA15	0	0	1	0	NAA15
NAA20	0	0	1	0	NAA20
NANS	0	0	1	0	NANS
NCKAP5L	1	0	0	0	NCKAP5L
NDRG2	0	1	0	1	NDRG2
NECAP1	1	0	0	0	NECAP1
NEDD1	1	0	0	0	NEDD1
NEDD9	0	1	0	0	NEDD9
