ERK	MEK	RAF	RAS	Gene.names
DDB1	0	0	1	0	DDB1
DDRGK1	0	1	0	0	DDRGK1
DDT	0	1	0	0	DDT
DELE1	0	0	1	0	DELE1
DEPTOR	0	0	0	1	DEPTOR
DERPC	1	0	0	1	DERPC
DFFB	0	0	1	0	DFFB
DGAT1	0	0	0	1	DGAT1
DGKA	0	0	0	1	DGKA
DHCR24	1	0	1	1	DHCR24
DHCR7	0	0	0	1	DHCR7
DHDDS	0	0	0	1	DHDDS
DHFR2	0	0	0	1	DHFR2
DICER1	0	0	1	0	DICER1
DLGAP2	0	0	1	0	DLGAP2
DLGAP5	0	1	0	0	DLGAP5
DMXL1	0	1	0	0	DMXL1
DNAAF10	0	0	1	0	DNAAF10
DNAJA1	0	0	1	0	DNAJA1
DNAJB11	0	0	1	0	DNAJB11
DNAJB6	0	0	1	0	DNAJB6
DNAJC18	1	0	1	1	DNAJC18
DNAJC22	1	0	0	1	DNAJC22
DNAJC5	0	0	0	1	DNAJC5
DNAJC7	0	0	1	0	DNAJC7
DNMT3B	1	0	0	1	DNMT3B
DNTTIP1	1	0	0	0	DNTTIP1
DPF3	1	0	0	0	DPF3
DPM3	0	0	0	1	DPM3
DPYSL4	0	0	0	1	DPYSL4
DPYSL5	0	0	0	1	DPYSL5
DRG2	0	0	1	0	DRG2
DSG2	0	0	1	0	DSG2
DTX3	0	0	0	1	DTX3
DUSP1	1	0	0	0	DUSP1
DUSP11	0	0	0	1	DUSP11
DUSP16	1	0	0	0	DUSP16
DUSP7	1	0	0	0	DUSP7
DUSP9	1	0	0	1	DUSP9
DYNLL2	0	0	0	1	DYNLL2
DZIP3	0	0	1	0	DZIP3
EAPP	0	0	0	1	EAPP
ECD	0	1	0	0	ECD
EDIL3	1	1	1	0	EDIL3
EEF1A2	0	0	0	1	EEF1A2
EEF1AKMT2	0	0	0	1	EEF1AKMT2
EEF1B2	1	0	1	1	EEF1B2
EEF1D	1	0	1	1	EEF1D
EEF1G	1	0	1	0	EEF1G
EEF2K	0	0	0	1	EEF2K
EFHD1	0	1	0	0	EFHD1
EGFL7	0	0	0	1	EGFL7
EGFLAM	0	0	1	0	EGFLAM
EID2	0	1	1	0	EID2
EIF3L	0	0	1	0	EIF3L
EIF4A2	0	0	1	0	EIF4A2
EIF4B	0	1	0	0	EIF4B
EIF4E	0	1	0	0	EIF4E
EIF4EBP1	0	0	0	1	EIF4EBP1
EIF4EBP2	1	0	0	0	EIF4EBP2
EIF4G2	0	0	0	1	EIF4G2
ELAPOR2	0	1	0	0	ELAPOR2
ELFN1	0	0	0	1	ELFN1
ELFN2	0	0	0	1	ELFN2
ELOF1	0	0	1	0	ELOF1
ELOVL7	0	0	1	0	ELOVL7
EMC9	0	0	0	1	EMC9
EMILIN2	1	0	0	1	EMILIN2
EMILIN3	0	0	1	1	EMILIN3
EMX1	1	0	0	0	EMX1
ENGASE	1	0	0	0	ENGASE
ENTR1	0	0	1	0	ENTR1
EPB41L3	1	0	0	0	EPB41L3
EPB41L4B	0	0	1	1	EPB41L4B
