query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	evidence_codes	intersection	subcell_localization	protein
plasma_membrane__ARAF	TRUE	0.000421503129012455	3486	50	24	0.48	0.00688468158347676	plasma_membrane_GO:0010646	GO:BP	regulation of cell communication	21026	4275	IDA ISS IEA,IMP IGI IBA,IMP,IMP IEA,IMP HMP,ISS IBA IEA,IEA,IDA IEA,IEA,IDA,IDA IBA,IEA,IDA IMP,IMP,IDA ISS IEA,IEA,IGI,IDA IBA IEA,IMP ISS,IMP,IMP,ISS IEA,IDA IMP,IMP IBA	AIDA,AMER1,EPHA2,ERBIN,GJA1,GPC1,GPC6,HRAS,KRAS,MDFIC,NECTIN2,NEO1,PIK3R1,PIK3R2,PLCB1,PLCB4,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLC30A1,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.000430491728521596	642	50	11	0.22	0.0171339563862928	plasma_membrane_GO:0120035	GO:BP	regulation of plasma membrane bounded cell projection organization	21026	19209	IEA,IGI ISS,IDA,IMP,IDA,IMP IBA,IEA,ISS IEA,IDA,IEA,IDA TAS	CNTN1,CUL7,EFNB2,EPHA2,HRAS,MYO10,NEO1,PIK3R1,ROBO1,SLC30A1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.000468344854612641	1534	50	16	0.32	0.0104302477183833	plasma_membrane_GO:0016477	GO:BP	cell migration	21026	5204	IEA,IEA,IDA,IDA IMP ISS IEA,IDA,IMP IEA,IBA,IDA IBA,IDA,IMP,IBA,IEA,ISS IEA,IDA IMP,IDA IMP ISS,IMP	CELSR2,EFNB1,EFNB2,EPHA2,EPHB4,GJA1,GPC1,GPC6,HRAS,MYO1C,NEO1,PIK3R1,PLCB1,ROBO1,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.000550061424339098	658	50	11	0.22	0.0167173252279635	plasma_membrane_GO:0031344	GO:BP	regulation of cell projection organization	21026	7096	IEA,IGI ISS,IDA,IMP,IDA,IMP IBA,IEA,ISS IEA,IDA,IEA,IDA TAS	CNTN1,CUL7,EFNB2,EPHA2,HRAS,MYO10,NEO1,PIK3R1,ROBO1,SLC30A1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.000651039335221993	825	50	12	0.24	0.0145454545454545	plasma_membrane_GO:0030029	GO:BP	actin filament-based process	21026	6620	IMP IBA IEA,IMP IBA,TAS,IDA,IEA,IEA,IMP ISS IBA IEA,IBA IEA,ISS IEA,IEA,IDA,IMP	ACTN1,FAM171A1,GJA1,HRAS,KIRREL1,KRAS,MYO1B,MYO1C,PIK3R1,PIK3R2,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.000667840419741363	996	50	13	0.26	0.0130522088353414	plasma_membrane_GO:0000902	GO:BP	cell morphogenesis	21026	238	IMP,ISS,IBA,IGI ISS,IBA IEA,IBA,ISS IEA,IMP IBA,IMP IBA,IBA,IDA ISS IEA,IEA,IDA IMP IBA TAS IEA	ACTN1,CELSR2,CNTN1,CUL7,EFNB1,EFNB2,EPHA2,FAM171A1,MYO10,NEO1,ROBO1,SLC30A1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.000747527991246457	3034	50	22	0.44	0.00725115359261701	plasma_membrane_GO:0009966	GO:BP	regulation of signal transduction	21026	3789	IDA ISS IEA,IMP IGI IBA,IMP,IMP IEA,HMP,ISS IBA IEA,IEA,IDA,IEA,IDA,IDA IBA,IEA,IDA IMP,IMP,IDA ISS IEA,IGI,IDA IBA IEA,IMP ISS,IMP,IMP,IDA IMP,IMP IBA	AIDA,AMER1,EPHA2,ERBIN,GJA1,GPC1,GPC6,HRAS,KRAS,MDFIC,NECTIN2,NEO1,PIK3R1,PIK3R2,PLCB1,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLIT2,TNFAIP1	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.000809631926348538	1013	50	13	0.26	0.0128331688055281	plasma_membrane_GO:0060341	GO:BP	regulation of cellular localization	21026	14344	IEA,IMP,IBA,IBA IEA,IDA IMP,ISS,IEA,IEA,IDA ISS IEA,ISS IEA,IEA,IEA,IEA	CELSR2,EPHA2,GPC1,GPC6,HRAS,MDFIC,MYO1C,NEO1,PIK3R1,PIK3R2,PLCB1,SLC30A1,STOM	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.00101273978206054	2819	50	21	0.42	0.00744945015963107	plasma_membrane_GO:0007166	GO:BP	cell surface receptor signaling pathway	21026	2717	IMP IGI IBA IEA,ISS NAS IEA,IEA,IBA IEA,IDA IBA IEA,IDA IEA,IDA IBA IEA,TAS NAS,ISS IBA IEA,TAS IEA,IBA IEA,IDA,IMP,IDA IBA,IEA,IDA IPI IMP IGI IBA IEA,IBA IEA,IDA ISS IEA,IGI,IMP ISS IEA,IMP IC	AMER1,CELSR2,CNTN1,EFNB1,EFNB2,EPHA2,EPHB4,ERBIN,GPC1,HRAS,IRS4,MDFIC,MYO1C,NECTIN2,NEO1,PIK3R1,PIK3R2,PLCB1,RALB,ROBO1,SLIT2	plasma_membrane	ARAF
plasma_membrane__ARAF	TRUE	0.0010576207626395	12743	50	46	0.92	0.00360982500196186	plasma_membrane_GO:0065007	GO:BP	biological regulation	21026	15666	NAS IEA,IDA ISS IEA,IDA IMP IGI IBA IEA,ISS NAS IEA,IEA,IMP IGI ISS,IDA NAS,IEA,IBA TAS IEA,IDA,IDA IBA TAS IEA,IDA IMP ISS IBA TAS IEA,IDA IMP ISS IEA,IDA IBA IEA,IMP IBA TAS NAS IEA,IMP IBA,IDA IMP HMP ISS IBA TAS NAS IEA,ISS IBA IEA,IBA IEA,IDA IMP IBA TAS NAS IEA,IBA TAS IEA,IEA,IMP IBA TAS IEA,IEA,IDA ISS IBA,IMP IBA IEA,IDA IMP NAS IEA,IDA IMP IBA,IEA,IEA,IDA IMP IBA TAS IEA,IDA IPI IMP IGI ISS IBA IEA,IDA IMP ISS IBA IEA,IDA ISS IBA TAS NAS IEA,IDA IBA TAS IEA,IMP IGI ISS IBA TAS IEA,IDA IBA IEA,IDA IMP ISS IEA,IDA IMP,IMP,ISS IEA,IDA IBA,IDA IMP ISS IBA TAS IC,IEA,IMP IBA IEA,IDA IMP	ACTN1,AIDA,AMER1,CELSR2,CNTN1,CUL7,DCBLD2,DLGAP4,DNAJC5,DSC3,EFNB1,EFNB2,EPHA2,EPHB4,ERBIN,FAM171A1,GJA1,GPC1,GPC6,HRAS,IRS4,KIRREL1,KRAS,LSR,MDFIC,MYO10,MYO1C,NECTIN2,NECTIN3,NEO1,NRAS,PIK3R1,PIK3R2,PLCB1,PLCB4,RALB,RELL1,ROBO1,SH3BP4,SLC19A1,SLC30A1,SLC4A7,SLIT2,STOM,TNFAIP1,WDR6	plasma_membrane	ARAF
