inflammation	arthritis	hypertensive_disease	ischemia	rasopathies	NRASQ61R	Hydrops Fetalis	Hypertrophic Cardiomyopathy	HIV Infections	Vascular anomaly	Epidermal nevus	cholestasis	endometriosis	Gene.names
1	0	0	0	0	0	0	0	1	0	0	0	1	CCL11
1	0	1	1	0	0	0	0	1	0	0	0	0	CCL2
0	0	0	0	0	0	0	0	0	0	0	0	1	CCL22
1	0	0	1	0	0	0	0	1	0	0	0	0	CCL3
1	0	0	1	0	0	0	0	0	0	0	0	0	CCL4
0	0	0	0	0	0	0	0	1	0	0	0	0	CCL4L2
0	0	0	0	0	0	0	0	1	0	0	0	0	CCL5
0	0	0	0	0	1	0	0	0	0	0	0	0	CCM2
0	0	1	0	0	0	0	0	0	0	0	1	0	CCN2
0	0	0	1	0	0	0	0	0	0	0	0	0	CCND2
0	0	0	0	0	0	0	0	0	0	0	0	1	CCNE2
0	0	0	0	0	1	0	0	0	1	0	0	0	CCNH
0	0	0	1	0	0	0	0	1	0	0	0	0	CCR2
0	0	0	0	0	0	0	0	1	0	0	0	0	CCR3
0	1	1	0	0	0	0	0	1	0	0	0	0	CCR5
0	0	0	0	0	0	0	0	1	0	0	0	0	CCT3
0	0	0	0	0	0	0	0	1	0	0	0	0	CCT5
0	0	0	0	0	0	0	0	1	0	0	0	0	CCT7
0	1	1	0	0	0	0	0	0	0	0	0	0	CD14
0	0	0	0	0	0	0	0	1	0	0	0	0	CD209
0	0	0	0	0	0	0	0	0	0	0	0	1	CD226
0	1	0	0	0	0	0	0	0	0	0	0	0	CD247
0	0	0	0	0	0	0	0	1	0	0	0	0	CD28
0	0	1	1	0	0	0	0	0	0	0	0	0	CD36
0	0	0	1	0	0	0	0	0	0	0	0	0	CD38
1	0	0	0	0	0	0	0	0	0	0	0	0	CD3E
0	0	0	1	0	0	0	0	1	0	0	0	0	CD40LG
0	0	0	0	0	0	0	0	0	0	0	0	1	CD55
0	0	0	0	0	0	0	0	0	0	0	1	0	CD68
0	1	0	0	0	0	0	0	0	0	0	0	0	CD83
0	1	0	0	0	0	0	0	0	0	0	0	0	CD8B
0	0	0	0	1	0	0	0	1	0	0	0	0	CDC42
0	0	0	1	0	0	0	0	0	0	0	0	0	CDH2
0	0	0	0	0	0	0	0	1	0	0	0	0	CDKN1A
0	0	0	1	0	0	0	0	0	0	0	0	0	CDKN2B
0	0	0	1	0	0	0	0	0	0	0	0	0	CEBPD
0	0	1	0	0	0	0	0	0	0	0	0	0	CELA2A
0	0	0	1	0	0	0	0	0	0	0	0	0	CELSR2
0	0	0	0	0	0	0	1	0	0	0	0	0	CELSR3
0	0	0	0	0	0	0	1	0	0	0	0	0	CEP85L
0	0	0	1	0	0	0	0	0	0	0	0	0	CES3
0	0	0	0	0	0	0	0	0	0	0	0	1	CFD
0	1	0	0	0	0	0	0	0	0	0	0	0	CHADL
0	0	1	0	0	0	0	0	0	0	0	0	0	CHGA
0	0	0	0	0	0	1	0	0	0	0	0	0	CHRNA1
1	0	0	0	0	0	0	0	0	0	0	0	0	CHRNA4
1	0	0	0	0	0	0	0	0	0	0	0	0	CHRNB2
0	1	0	0	0	0	0	0	0	0	0	0	0	CIITA
0	0	0	1	0	0	0	0	0	0	0	0	0	CIRBP
0	0	0	0	1	0	0	0	0	0	0	0	0	CLCN1
0	0	0	1	0	0	0	0	0	0	0	0	0	CLCN6
0	0	1	0	0	0	0	0	0	0	0	0	0	CLCNKA
0	0	1	0	0	0	0	0	0	0	0	0	0	CLCNKB
0	0	0	0	0	0	0	0	0	0	0	0	1	CLDN1
0	0	0	1	0	0	0	0	0	0	0	0	0	CLEC10A
0	0	0	0	0	0	0	0	1	0	0	0	0	CLIC1
0	0	0	0	1	0	0	0	0	0	0	0	0	CLTC
0	1	1	0	0	0	0	0	0	0	0	0	0	CLU
0	0	1	0	0	0	0	1	0	0	0	0	0	CMA1
0	1	0	0	0	0	0	0	0	0	0	0	0	CMTM2
0	0	0	0	0	0	0	0	0	0	0	0	1	CNIH3
0	0	0	0	0	0	0	0	0	0	0	0	1	CNR1
0	1	0	0	0	0	0	0	0	0	0	0	0	COL11A1
0	0	1	0	0	0	0	1	0	0	0	1	0	COL1A1
1	1	0	0	0	0	0	0	0	0	0	0	0	COL2A1
0	0	1	0	0	0	0	0	0	0	0	1	0	COL3A1
0	0	1	0	0	0	0	0	0	0	0	0	0	COL4A4
0	0	1	0	0	0	0	0	0	0	0	0	0	COL4A5
0	0	1	0	0	0	0	0	0	0	0	0	0	COL6A3
0	0	0	0	0	0	0	0	0	0	1	0	0	COL7A1
0	1	0	0	0	0	0	0	0	0	0	0	0	COMP
0	0	1	0	0	0	0	0	0	0	0	0	0	COMT
0	1	0	0	0	0	0	0	0	0	0	0	0	COPA
0	0	0	0	0	0	0	0	0	0	0	0	1	COPS2
0	0	0	0	0	0	0	0	1	0	0	0	0	COPS6
0	0	1	0	0	0	0	0	0	0	0	0	0	CORIN
0	0	0	0	0	0	0	1	0	0	0	0	0	COX15
0	0	0	1	0	0	0	0	0	0	0	0	0	COX5B
0	0	0	1	0	0	0	0	0	0	0	0	0	CPE
0	0	0	0	0	0	0	0	0	0	0	0	1	CPM
0	0	0	1	0	0	0	0	0	0	0	0	0	CPT1B
