diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Neurodevelopmental delay	C4022738	CURATED	238	PPP1CB,KIF11,ACTA1,RALA,ROBO1,SPTBN1,BRAF,PLOD3	8	8/237	8/14132	0.106228551728762	14132	0.238650444979686	combined_HrasG13R	HrasG13R	combined	Active
Glioma	C0017638	CURATED	109	BRAF,HRAS,RAF1,CHAF1A,CCN1	5	5/237	5/14132	0.110861716176648	14132	0.245693533148247	combined_HrasG13R	HrasG13R	combined	Active
Polycystic Kidney Diseases	C0022680	CURATED	35	PLCE1,PRKCSH,PIK3CA	3	3/237	3/14132	0.1162962815622	14132	0.25122358544053	combined_HrasG13R	HrasG13R	combined	Active
Neoplasm Invasiveness	C0027626	CURATED	198	FN1,ITGA5,GAB2,YAP1,HRAS,MYH9,PKM	7	7/237	7/14132	0.116420685935855	14132	0.25122358544053	combined_HrasG13R	HrasG13R	combined	Active
Malignant Glioma	C0555198	CURATED	112	RAF1,HRAS,BRAF,CHAF1A,CCN1	5	5/237	5/14132	0.119233160228853	14132	0.253951146461452	combined_HrasG13R	HrasG13R	combined	Active
Malignant neoplasm of lung	C0242379	CURATED	36	KRAS,PIK3CA,BRAF	3	3/237	3/14132	0.121835098600952	14132	0.256166104750719	combined_HrasG13R	HrasG13R	combined	Active
Weight Gain	C0043094	CURATED	115	MEST,GSN,ANXA5,PIK3CA,SPTBN1	5	5/237	5/14132	0.127869741681684	14132	0.265451109313876	combined_HrasG13R	HrasG13R	combined	Active
Colonic Neoplasms	C0009375	CURATED	160	NDRG2,ID3,F5,ITGA7,KRAS,TAGLN	6	6/237	6/14132	0.13183737760223	14132	0.270266624084572	combined_HrasG13R	HrasG13R	combined	Active
Hypertrophic Cardiomyopathy	C0007194	CURATED	164	RAF1,LZTR1,BRAF,NEBL,CS,HCN4	6	6/237	6/14132	0.141926026139331	14132	0.287356398603089	combined_HrasG13R	HrasG13R	combined	Active
Tetralogy of Fallot	C0039685	CURATED	40	EPHB4,FOXC2,ROBO1	3	3/237	3/14132	0.144587062267172	14132	0.288193808821	combined_HrasG13R	HrasG13R	combined	Active
