diseaseName	diseaseUMLSCUI	source	numGenesAssociatedToDisease	intersection	intersectionSize	geneRatio	bgRatio	pvalue	totalGenesSource	p_adjusted	query	bait	method	type
Cardiomyopathy, Familial Hypertrophic, 1	C3495498	CURATED	37	LZTR1,MYPN,RAF1	3	3/111	3/14132	0.0340600315222376	14132	0.090826750725967	combined_NrasQ61K	NrasQ61K	combined	Active
Endometrial Carcinoma	C0476089	CURATED	39	HRAS,PIK3CA,BRAF	3	3/111	3/14132	0.0375152085180572	14132	0.0977140314888933	combined_NrasQ61K	NrasQ61K	combined	Active
Adenoid Cystic Carcinoma	C0010606	CURATED	97	VCAN,HRAS,ASPM,PIK3CA	4	4/111	4/14132	0.0408617871916394	14132	0.104011821942355	combined_NrasQ61K	NrasQ61K	combined	Active
Cardiomyopathy, Hypertrophic, Familial	C0949658	CURATED	99	KRAS,SHOC2,RAF1,MYPN	4	4/111	4/14132	0.0429891033221877	14132	0.106995101601889	combined_NrasQ61K	NrasQ61K	combined	Active
Salivary Gland Neoplasms	C0036095	CURATED	43	VCAN,ASPM,HRAS	3	3/111	3/14132	0.0448053999850734	14132	0.109091408659309	combined_NrasQ61K	NrasQ61K	combined	Active
Thyroid Neoplasm	C0040136	CURATED	45	BRAF,HRAS,KRAS	3	3/111	3/14132	0.0486309711116677	14132	0.115886569457591	combined_NrasQ61K	NrasQ61K	combined	Active
Cardiomyopathy, Dilated	C0007193	CURATED	259	CACNB2,HCN4,LZTR1,RAF1,BRAF,MYPN	6	6/111	6/14132	0.0533883448102574	14132	0.122263867527698	combined_NrasQ61K	NrasQ61K	combined	Active
Adult Cholangiocarcinoma	C0280725	CURATED	48	THBS1,BRAF,KRAS	3	3/111	3/14132	0.0545820837177225	14132	0.122263867527698	combined_NrasQ61K	NrasQ61K	combined	Active
Left ventricular noncompaction cardiomyopathy	C4021133	CURATED	48	HCN4,RAF1,MYPN	3	3/111	3/14132	0.0545820837177225	14132	0.122263867527698	combined_NrasQ61K	NrasQ61K	combined	Active
Mouth Neoplasms	C0026640	CURATED	52	HRAS,KRAS,PIK3CA	3	3/111	3/14132	0.0628910235993496	14132	0.135457589290907	combined_NrasQ61K	NrasQ61K	combined	Active
Cholangiocarcinoma	C0206698	CURATED	52	THBS1,KRAS,BRAF	3	3/111	3/14132	0.0628910235993496	14132	0.135457589290907	combined_NrasQ61K	NrasQ61K	combined	Active
Papillary thyroid carcinoma	C0238463	CURATED	53	NRAS,BRAF,HRAS	3	3/111	3/14132	0.0650315239490896	14132	0.137425107213171	combined_NrasQ61K	NrasQ61K	combined	Active
Colorectal Neoplasms	C0009404	CURATED	363	KDM2A,KRAS,FADS2,PIK3CA,NRAS,SFRP5,BRAF	7	7/111	7/14132	0.0663619893448109	14132	0.137639681604052	combined_NrasQ61K	NrasQ61K	combined	Active
Non-Small Cell Adenocarcinoma	C1335060	CURATED	197	RASA1,HRAS,BRAF,KRAS,PIK3CA	5	5/111	5/14132	0.069626348385859	14132	0.139780553531947	combined_NrasQ61K	NrasQ61K	combined	Active
Adenocarcinoma	C0001418	CURATED	121	PLCE1,ID3,PIK3CA,KRAS	4	4/111	4/14132	0.0698902767659735	14132	0.139780553531947	combined_NrasQ61K	NrasQ61K	combined	Active
Adenocarcinoma of lung (disorder)	C0152013	CURATED	286	RASA1,PIK3CA,RAF1,BRAF,KRAS,HRAS	6	6/111	6/14132	0.0748145859824826	14132	0.147004098772597	combined_NrasQ61K	NrasQ61K	combined	Active
Colorectal Carcinoma	C0009402	CURATED	473	KRAS,RALGDS,BRAF,PDGFD,PSMC5,PIK3CA,CACNB2,NRAS	8	8/111	8/14132	0.0788889901923513	14132	0.152337360371437	combined_NrasQ61K	NrasQ61K	combined	Active
Autism Spectrum Disorders	C1510586	CURATED	572	SLITRK5,THBS1,CACNB2,LZTR1,GABRB3,AFDN,CEP104,DHCR24,SCRIB	9	9/111	9/14132	0.0809296860667584	14132	0.153629234567406	combined_NrasQ61K	NrasQ61K	combined	Active
Squamous cell carcinoma of lung	C0149782	CURATED	67	KRAS,PIK3CA,HRAS	3	3/111	3/14132	0.0973256732707294	14132	0.181674590105361	combined_NrasQ61K	NrasQ61K	combined	Active
Colon Carcinoma	C0699790	CURATED	68	BRAF,PIK3CA,NRAS	3	3/111	3/14132	0.099779989001344	14132	0.183202602756566	combined_NrasQ61K	NrasQ61K	combined	Active
Liver neoplasms	C0023903	CURATED	146	HRAS,RAF1,BRAF,KRAS	4	4/111	4/14132	0.107534605727632	14132	0.19117263240468	combined_NrasQ61K	NrasQ61K	combined	Active
Multiple Myeloma	C0026764	CURATED	146	NRAS,BRAF,KRAS,SGK1	4	4/111	4/14132	0.107534605727632	14132	0.19117263240468	combined_NrasQ61K	NrasQ61K	combined	Active
Mammary Neoplasms	C1458155	CURATED	524	RAF1,THBS1,PIK3CA,EEF1B2,HRAS,ARAF,KRAS,SFRP5	8	8/111	8/14132	0.118302277789395	14132	0.207028986131442	combined_NrasQ61K	NrasQ61K	combined	Active
Hereditary Breast and Ovarian Cancer Syndrome	C0677776	CURATED	158	ID3,KRAS,RALGDS,CCNG1	4	4/111	4/14132	0.127892244750065	14132	0.220368175569343	combined_NrasQ61K	NrasQ61K	combined	Active
Mental Retardation	C0025362	CURATED	165	KRAS,EEF1B2,RALGDS,SC5D	4	4/111	4/14132	0.140358465963533	14132	0.233014155283661	combined_NrasQ61K	NrasQ61K	combined	Active
Atrial Fibrillation	C0004238	CURATED	166	HCN4,CEP68,MYPN,SLC27A6	4	4/111	4/14132	0.142172243221463	14132	0.233014155283661	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of upper lobe, bronchus or lung	C0024624	CURATED	87	PIK3CA,KRAS,BRAF	3	3/111	3/14132	0.14925332725006	14132	0.233014155283661	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of middle lobe, bronchus or lung	C0153491	CURATED	87	KRAS,BRAF,PIK3CA	3	3/111	3/14132	0.14925332725006	14132	0.233014155283661	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of lower lobe, bronchus or lung	C0153492	CURATED	87	PIK3CA,KRAS,BRAF	3	3/111	3/14132	0.14925332725006	14132	0.233014155283661	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of other parts of bronchus or lung	C0153493	CURATED	87	KRAS,PIK3CA,BRAF	3	3/111	3/14132	0.14925332725006	14132	0.233014155283661	combined_NrasQ61K	NrasQ61K	combined	Active
Microcephaly (physical finding)	C4551563	CURATED	357	SCRIB,YWHAG,ZIC2,ZNF91,CDC6,ASPM	6	6/111	6/14132	0.149794814110925	14132	0.233014155283661	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of large intestine	C0346629	CURATED	173	KRAS,PIK3CA,BRAF,NRAS	4	4/111	4/14132	0.155084904874876	14132	0.23793848419159	combined_NrasQ61K	NrasQ61K	combined	Active
ovarian neoplasm	C0919267	CURATED	182	PIK3CA,CCNG1,KRAS,PPP1CC	4	4/111	4/14132	0.172202212235743	14132	0.260630375275718	combined_NrasQ61K	NrasQ61K	combined	Active
Bipolar Disorder	C0005586	CURATED	483	CSRP1,CACNB2,FADS2,YWHAZ,GABRB3,YWHAE,YWHAH	7	7/111	7/14132	0.179661144167508	14132	0.262487965064715	combined_NrasQ61K	NrasQ61K	combined	Active
Pancreatic Neoplasm	C0030297	CURATED	191	BRAF,THBS1,KRAS,CCNG1	4	4/111	4/14132	0.189832501736224	14132	0.262487965064715	combined_NrasQ61K	NrasQ61K	combined	Active
malignant neoplasm of head of pancreas	C0153458	CURATED	191	BRAF,KRAS,THBS1,CCNG1	4	4/111	4/14132	0.189832501736224	14132	0.262487965064715	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of body of pancreas	C0153459	CURATED	191	BRAF,CCNG1,KRAS,THBS1	4	4/111	4/14132	0.189832501736224	14132	0.262487965064715	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of tail of pancreas	C0153460	CURATED	191	BRAF,THBS1,KRAS,CCNG1	4	4/111	4/14132	0.189832501736224	14132	0.262487965064715	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of other specified sites of pancreas	C0153463	CURATED	191	THBS1,KRAS,BRAF,CCNG1	4	4/111	4/14132	0.189832501736224	14132	0.262487965064715	combined_NrasQ61K	NrasQ61K	combined	Active
Global developmental delay	C0557874	CURATED	388	EEF1B2,CEP104,PIK3CA,BRAF,NFE2L1,GABRB3	6	6/111	6/14132	0.189835046162874	14132	0.262487965064715	combined_NrasQ61K	NrasQ61K	combined	Active
Myoepithelioma	C0027070	CURATED	104	CORO2A,GABRB3,BRAF	3	3/111	3/14132	0.196763023032892	14132	0.268749494874194	combined_NrasQ61K	NrasQ61K	combined	Active
Glioma	C0017638	CURATED	109	BRAF,HRAS,RAF1	3	3/111	3/14132	0.21108929007624	14132	0.284843379379987	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant Glioma	C0555198	CURATED	112	RAF1,HRAS,BRAF	3	3/111	3/14132	0.219735818891897	14132	0.292981091855862	combined_NrasQ61K	NrasQ61K	combined	Active
Weight Gain	C0043094	CURATED	115	GDF15,MEST,PIK3CA	3	3/111	3/14132	0.228412609304545	14132	0.300967202848341	combined_NrasQ61K	NrasQ61K	combined	Active
Acute polyarticular juvenile rheumatoid arthritis	C0157916	CURATED	138	PLAUR,THBS1,KRAS	3	3/111	3/14132	0.295334779539792	14132	0.371143477642958	combined_NrasQ61K	NrasQ61K	combined	Active
Pauciarticular juvenile rheumatoid arthritis	C0157917	CURATED	138	PLAUR,THBS1,KRAS	3	3/111	3/14132	0.295334779539792	14132	0.371143477642958	combined_NrasQ61K	NrasQ61K	combined	Active
Monoarticular juvenile rheumatoid arthritis	C0157918	CURATED	138	KRAS,PLAUR,THBS1	3	3/111	3/14132	0.295334779539792	14132	0.371143477642958	combined_NrasQ61K	NrasQ61K	combined	Active
Juvenile Chronic Polyarthritis	C0409667	CURATED	138	KRAS,THBS1,PLAUR	3	3/111	3/14132	0.295334779539792	14132	0.371143477642958	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of ovary	C1140680	CURATED	139	PIK3CA,CCNG1,BRAF	3	3/111	3/14132	0.29824029453452	14132	0.371143477642958	combined_NrasQ61K	NrasQ61K	combined	Active
Schizophrenia	C0036341	CURATED	1047	THBS1,CHGA,GABRB3,YWHAE,CACNB2,CRMP1,DHCR24,ZIC2,PIK3CA,PTPRZ1,FADS2	11	11/111	11/14132	0.30710731456795	14132	0.3779782333144	combined_NrasQ61K	NrasQ61K	combined	Active
melanoma	C0025202	CURATED	250	GDF15,NRAS,BRAF,HRAS	4	4/111	4/14132	0.313324798333152	14132	0.381438884927315	combined_NrasQ61K	NrasQ61K	combined	Active
Colonic Neoplasms	C0009375	CURATED	160	NDRG2,ID3,KRAS	3	3/111	3/14132	0.358638483393136	14132	0.431908711183132	combined_NrasQ61K	NrasQ61K	combined	Active
Endometriosis	C0014175	CURATED	165	ARHGAP28,VCAN,KRAS	3	3/111	3/14132	0.372771557353541	14132	0.444153344931878	combined_NrasQ61K	NrasQ61K	combined	Active
Seizures	C0036572	CURATED	308	EEF1B2,YWHAG,PIK3CA,GABRB3	4	4/111	4/14132	0.436909455529259	14132	0.514930923343393	combined_NrasQ61K	NrasQ61K	combined	Active
Neoplastic Syndromes, Hereditary	C0027672	CURATED	190	PIK3CA,LZTR1,HRAS	3	3/111	3/14132	0.441369362865765	14132	0.514930923343393	combined_NrasQ61K	NrasQ61K	combined	Active
Neoplasm Invasiveness	C0027626	CURATED	198	HRAS,PLAUR,PKM	3	3/111	3/14132	0.462466907028219	14132	0.533982408115056	combined_NrasQ61K	NrasQ61K	combined	Active
Leukemia, Myelocytic, Acute	C0023467	CURATED	210	KRAS,NRAS,SGK1	3	3/111	3/14132	0.493233457569169	14132	0.563205919678839	combined_NrasQ61K	NrasQ61K	combined	Active
Myocardial Ischemia	C0151744	CURATED	338	PDGFD,GDF15,PSMB5,ID3	4	4/111	4/14132	0.497833804001831	14132	0.563205919678839	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of urinary bladder	C0005684	CURATED	218	HRAS,PIK3CA,KRAS	3	3/111	3/14132	0.513127119100702	14132	0.574702373392787	combined_NrasQ61K	NrasQ61K	combined	Active
Stomach Neoplasms	C0038356	CURATED	349	PIK3CA,KRAS,HRAS,PLCE1	4	4/111	4/14132	0.519359919709568	14132	0.575923871361105	combined_NrasQ61K	NrasQ61K	combined	Active
Cardiomyopathies	C0878544	CURATED	223	YWHAH,HCN4,MYPN	3	3/111	3/14132	0.525301002403293	14132	0.576801100678126	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of prostate	C0376358	CURATED	629	VCAN,PIK3CA,CHGA,FBH1,KMT5A,B3GALT1	6	6/111	6/14132	0.553454008273029	14132	0.601814067248342	combined_NrasQ61K	NrasQ61K	combined	Active
Neurodevelopmental delay	C4022738	CURATED	238	PPP1CB,BRAF,GABRB3	3	3/111	3/14132	0.560591432809058	14132	0.603713850717447	combined_NrasQ61K	NrasQ61K	combined	Active
Intellectual Disability	C3714756	CURATED	694	BRAF,ASPM,EEF1B2,YWHAG,HRAS,GABRB3	6	6/111	6/14132	0.641475682123141	14132	0.684240727598017	combined_NrasQ61K	NrasQ61K	combined	Active
Autistic Disorder	C0004352	CURATED	433	PLAUR,LZTR1,GABRB3,HRAS	4	4/111	4/14132	0.665712627313449	14132	0.703394474142513	combined_NrasQ61K	NrasQ61K	combined	Active
Hypertensive disease	C0020538	CURATED	301	SGK1,CHGA,CACNB2	3	3/111	3/14132	0.688132444428479	14132	0.720288166130745	combined_NrasQ61K	NrasQ61K	combined	Active
Neurodevelopmental Disorders	C1535926	CURATED	674	PSMC5,GABRB3,EEF1B2,KDM2A,RALGDS	5	5/111	5/14132	0.781883753263321	14132	0.809469327810685	combined_NrasQ61K	NrasQ61K	combined	Active
Non-specific syndromic intellectual disability	C5568766	CURATED	367	RALGDS,YWHAE,YWHAZ	3	3/111	3/14132	0.787787113672899	14132	0.809469327810685	combined_NrasQ61K	NrasQ61K	combined	Active
Chemical and Drug Induced Liver Injury	C4277682	CURATED	374	RASA1,THBS1,FADS2	3	3/111	3/14132	0.796539639245308	14132	0.811022178140677	combined_NrasQ61K	NrasQ61K	combined	Active
Retinal Dystrophies	C0854723	CURATED	405	VCAN,ZNF91,RP9	3	3/111	3/14132	0.831602225203262	14132	0.83909413714203	combined_NrasQ61K	NrasQ61K	combined	Active
Malignant neoplasm of breast	C0006142	CURATED	744	KRAS,LZTR1,PIK3CA,RGL1	4	4/111	4/14132	0.936422654706762	14132	0.936422654706762	combined_NrasQ61K	NrasQ61K	combined	Active
Congenital abnormality of vein	C2937220	CURATED	7	GLMN,EPHB4,COL5A1	3	3/269	3/14132	0.00711683754158806	14132	0.576463840868633	combined_ArafD447A	ArafD447A	combined	Inactive
Mouth Diseases	C0026636	CURATED	11	DNAJA1,CHAF1A,CHAF1B	3	3/269	3/14132	0.0177268508056242	14132	0.708958786010474	combined_ArafD447A	ArafD447A	combined	Inactive
Severe myopia	C0271183	CURATED	88	FLII,SLC19A1,LRP2,PTPRZ1,EGFLAM,ANKMY2	6	6/269	6/14132	0.0262577328152027	14132	0.708958786010474	combined_ArafD447A	ArafD447A	combined	Inactive
Osteogenesis imperfecta type III (disorder)	C0268362	CURATED	17	P3H1,COL11A1,CRTAP	3	3/269	3/14132	0.040679164307442	14132	0.8237530772257	combined_ArafD447A	ArafD447A	combined	Inactive
Mental Retardation, X-Linked Nonsyndromic	C3501611	CURATED	44	GDI1,FTSJ1,USP9X,HUWE1	4	4/269	4/14132	0.0509902102175988	14132	0.826041405525101	combined_ArafD447A	ArafD447A	combined	Inactive
Carcinoma	C0007097	CURATED	163	KITLG,PKM,URI1,SGK1,YWHAZ,COL5A1,PIK3R1	7	7/269	7/14132	0.0914638954794594	14132	0.889067752346538	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant epithelioma	C0553707	CURATED	163	COL5A1,KITLG,URI1,YWHAZ,SGK1,PIK3R1,PKM	7	7/269	7/14132	0.0914638954794594	14132	0.889067752346538	combined_ArafD447A	ArafD447A	combined	Inactive
Epithelioma	C1368683	CURATED	163	PIK3R1,COL5A1,YWHAZ,URI1,PKM,KITLG,SGK1	7	7/269	7/14132	0.0914638954794594	14132	0.889067752346538	combined_ArafD447A	ArafD447A	combined	Inactive
Pneumoconiosis	C0032273	CURATED	28	PTPRZ1,EPHB4,ALG11	3	3/269	3/14132	0.098785305816282	14132	0.889067752346538	combined_ArafD447A	ArafD447A	combined	Inactive
Autosomal recessive non-syndromic intellectual disability	C5680181	CURATED	67	NAA20,EEF1B2,UBE4A,EEF1D	4	4/269	4/14132	0.135243896919109	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Neurodevelopmental delay	C4022738	CURATED	238	COL11A1,NAA15,HUWE1,AFG2B,DDB1,NR2F1,DNAJC7,USP9X	8	8/269	8/14132	0.169363676122765	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Insulin Resistance	C0021655	CURATED	77	SIRT1,PIK3R1,PRKAR1A,TBC1D4	4	4/269	4/14132	0.180921509884767	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Systemic Scleroderma	C0036421	CURATED	41	CCN1,ANXA5,SIRT1	3	3/269	3/14132	0.183292607285139	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Mammary Neoplasms	C1458155	CURATED	524	MTR,NISCH,DICER1,THBS1,EEF1B2,EPHB4,ARAF,ARF1,SIRT1,FKBPL,GPI,NR2F1,HSP90AA1,MAN2C1	14	14/269	14/14132	0.20047330407842	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Dysmorphic facies	C0424503	CURATED	84	PLCB4,MAP2K2,HUWE1,COL11A1	4	4/269	4/14132	0.21502626883212	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Myopia	C0027092	CURATED	48	P3H2,P4HA2,COL11A1	3	3/269	3/14132	0.232139187984666	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Mouth Neoplasms	C0026640	CURATED	52	GPN1,NAMPT,ANXA5	3	3/269	3/14132	0.260424560554117	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Polycystic Ovary Syndrome	C0032460	CURATED	138	TMEFF2,ASPM,PDE3B,PBK,MAPK8IP3	5	5/269	5/14132	0.268620617980072	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Major Depressive Disorder	C1269683	CURATED	229	HSP90AA1,LSAMP,MAP2K1,SGK1,FKBP4,FKBP5,PLCB1	7	7/269	7/14132	0.271223161020919	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Metastatic melanoma	C0278883	CURATED	54	PASK,EPHB4,CAMK1	3	3/269	3/14132	0.274590131604546	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Unipolar Depression	C0041696	CURATED	231	SGK1,PLCB1,HSP90AA1,LSAMP,FKBP4,FKBP5,MAP2K1	7	7/269	7/14132	0.277723303608905	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Basal Cell Neoplasm	C0206710	CURATED	141	CHGA,UBAC2,PPP6C,PELI2,IRS4	5	5/269	5/14132	0.28130858273686	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant basal cell tumor	C1368295	CURATED	141	CHGA,UBAC2,IRS4,PELI2,PPP6C	5	5/269	5/14132	0.28130858273686	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Pain	C0030193	CURATED	58	MAP2K2,COL5A1,PLCB1	3	3/269	3/14132	0.302863721864977	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Developmental Disabilities	C0008073	CURATED	149	MAPK8IP3,NAA15,USP9X,UBR4,LRP2	5	5/269	5/14132	0.315542648930214	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Non-Small Cell Adenocarcinoma	C1335060	CURATED	197	UBR5,SLC19A1,GPI,ANXA5,MAP2K1,IPO5	6	6/269	6/14132	0.321576603281768	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Glioma	C0017638	CURATED	109	MAP2K1,CHAF1A,CCN1,LIG4	4	4/269	4/14132	0.343804025422022	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant Glioma	C0555198	CURATED	112	LIG4,MAP2K1,CHAF1A,CCN1	4	4/269	4/14132	0.35943142415154	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Mental Retardation	C0025362	CURATED	165	NAA15,GPI,EEF1B2,KIFBP,SC5D	5	5/269	5/14132	0.384723051387596	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Mood Disorders	C0525045	CURATED	168	SIRT1,FKBP5,NTS,HSP90AA1,SIRT2	5	5/269	5/14132	0.397658944043743	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Non-specific syndromic intellectual disability	C5568766	CURATED	367	CCT6A,DLGAP2,HUWE1,MAPK8IP3,YWHAE,MAN2C1,DNAJA1,YWHAZ,NAA15	9	9/269	9/14132	0.399067221566291	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
HIV Infections	C0019693	CURATED	127	SIRT1,HSP90AA1,DNAJC7,HSP90AB1	4	4/269	4/14132	0.436351767199466	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
hearing impairment	C1384666	CURATED	187	LRP2,THBS1,UNC45A,AFG2B,COL11A1	5	5/269	5/14132	0.478079054364221	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Pancreatic Neoplasm	C0030297	CURATED	191	RHBDD1,LIG4,MTR,SEL1L,THBS1	5	5/269	5/14132	0.494520193819746	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
malignant neoplasm of head of pancreas	C0153458	CURATED	191	LIG4,MTR,THBS1,SEL1L,RHBDD1	5	5/269	5/14132	0.494520193819746	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant neoplasm of body of pancreas	C0153459	CURATED	191	MTR,SEL1L,RHBDD1,LIG4,THBS1	5	5/269	5/14132	0.494520193819746	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant neoplasm of tail of pancreas	C0153460	CURATED	191	MTR,THBS1,RHBDD1,LIG4,SEL1L	5	5/269	5/14132	0.494520193819746	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant neoplasm of other specified sites of pancreas	C0153463	CURATED	191	THBS1,LIG4,SEL1L,RHBDD1,MTR	5	5/269	5/14132	0.494520193819746	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Rare genetic syndromic intellectual disability	C5680525	CURATED	87	HUWE1,NAA15,DDB1	3	3/269	3/14132	0.495597305578421	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Abnormality of the brain	C4021085	CURATED	88	KLHL15,PLCB1,TTC1	3	3/269	3/14132	0.501655630969972	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
melanoma	C0025202	CURATED	250	PPP6C,PLCB4,MAP2K2,UBR4,MAP2K1,STIP1	6	6/269	6/14132	0.518757563992504	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Colorectal Neoplasms	C0009404	CURATED	363	KDM2A,DICER1,BAMBI,LIG4,NAMPT,NT5C,STIP1,SLC19A1	8	8/269	8/14132	0.539827343261554	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Chemical and Drug Induced Liver Injury	C4277682	CURATED	374	P4HB,SNX18,DBT,GDI1,KITLG,THBS1,NTN1,DDB1	8	8/269	8/14132	0.571627996946499	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Ductal Breast Carcinoma	C1527349	CURATED	103	LRP2,NTS,UBR5	3	3/269	3/14132	0.586728453572485	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Short stature	C0349588	CURATED	162	COL11A1,UBR4,WDR6,MAP2K2	4	4/269	4/14132	0.598902547718879	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Prostatic Neoplasms	C0033578	CURATED	660	HSP90AB1,LRP2,COL5A1,P4HB,MAP2K2,UXT,TTC9C,PIK3R1,SIRT1,TMEFF2,LIG4,MAP2K1,CHGA	13	13/269	13/14132	0.606718099941518	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Liver Cirrhosis	C0023890	CURATED	164	BAMBI,LGALS3BP,THBS1,TUG1	4	4/269	4/14132	0.607229713672544	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Adenocarcinoma of lung (disorder)	C0152013	CURATED	286	UBR5,MAP2K1,SLC19A1,IPO5,GPI,ANXA5	6	6/269	6/14132	0.638205977544972	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant neoplasm of large intestine	C0346629	CURATED	173	LIG4,PIK3R1,BAMBI,DICER1	4	4/269	4/14132	0.64326688552337	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Osteoarthrosis, localized, not specified whether primary or secondary	C0157946	CURATED	117	P3H3,EDIL3,YWHAQ	3	3/269	3/14132	0.656027289082736	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Obesity	C0028754	CURATED	293	KITLG,PRKAR1A,SIRT1,NAMPT,NUDC,LACTB	6	6/269	6/14132	0.659208773072725	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Bipolar Disorder	C0005586	CURATED	483	FKBP5,PLCB1,SIRT1,MTR,YWHAZ,YWHAE,YWHAH,FBXL3,PPID	9	9/269	9/14132	0.704941717866172	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Autistic Disorder	C0004352	CURATED	433	PER1,DLGAP2,COL11A1,PASK,NAA15,ZNF776,MTR,SLC19A1	8	8/269	8/14132	0.721754784742733	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Neurodevelopmental Disorders	C1535926	CURATED	674	COL11A1,EEF1B2,UBE4A,EEF1D,UBR4,USP9X,UBR5,NAA15,KDM2A,MAPK8IP3,DICER1,CCT6A	12	12/269	12/14132	0.741985832696888	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Global developmental delay	C0557874	CURATED	388	EEF1B2,USP9X,HUWE1,MAPK8IP3,CHAF1B,AFG2B,NAA15	7	7/269	7/14132	0.752162576639157	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Heart failure	C0018801	CURATED	207	MAP2K1,BAMBI,SIRT1,NISCH	4	4/269	4/14132	0.757961980035802	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Congestive heart failure	C0018802	CURATED	207	BAMBI,SIRT1,NISCH,MAP2K1	4	4/269	4/14132	0.757961980035802	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Malignant neoplasm of prostate	C0376358	CURATED	629	ZNF776,RUNDC1,CHGA,FBH1,LIG4,COL5A1,KMT5A,PIK3R1,PLCB4,CHAF1B,TMEFF2	11	11/269	11/14132	0.763688432753391	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
Liver neoplasms	C0023903	CURATED	146	NUDCD3,DICER1,PDRG1	3	3/269	3/14132	0.769862059419143	14132	0.989329854929193	combined_ArafD447A	ArafD447A	combined	Inactive
