ERK_prey_protein	in IntAct	this study	ERK relationship in Signor	OpenCell	BioPlex	Kolch	Gstaiger
THRB	0	1	1	0	0	0	0
UCHL3	0	1	0	0	0	0	0
HIVEP1	0	1	0	0	0	0	0
TCF3	0	1	1	0	0	0	0
PTPRZ1	0	1	0	0	0	0	0
MAP2K2	0	1	1	0	0	0	0
CAMSAP2	0	1	0	0	0	0	0
LSAMP	0	1	0	0	0	0	0
GAB1	0	1	1	0	0	0	0
ATXN7L3	0	1	0	0	0	0	0
PEA15	0	1	1	0	0	0	0
ARHGAP31	0	1	0	0	0	0	0
ZXDC	0	1	0	0	0	0	0
MEST	0	1	0	0	0	0	0
ATXN7L2	0	1	0	0	0	0	0
ANKRD34A	0	1	0	0	0	0	0
ZCCHC12	0	1	0	0	0	0	0
MIDEAS	0	1	0	0	0	0	0
C15orf39	0	1	0	0	0	0	0
ERICH1	0	1	0	0	0	0	0
DHFR2	0	1	0	0	0	0	0
TDRP	0	1	0	0	0	0	0
TNRC6A	0	1	0	0	0	0	0
SUPT20H	0	1	0	0	0	0	0
CEMIP	0	1	0	0	0	0	0
CKAP2	0	1	0	0	0	0	0
PIK3R3	0	1	0	0	0	0	0
PINX1	0	1	0	0	0	0	0
TADA1	0	1	0	0	0	0	0
ARHGEF26	0	1	0	0	0	0	0
KIF16B	0	1	0	0	0	0	0
CCDC138	0	1	0	0	0	0	0
SOX7	0	1	0	0	0	0	0
CTDSP1	0	1	0	0	0	0	0
DNTTIP1	0	1	0	0	0	0	0
NELFA	0	1	0	0	0	0	0
NCKAP5L	0	1	0	0	0	0	0
WASH6P	0	1	0	0	0	0	0
XPNPEP3	0	1	0	0	0	0	0
STMN3	0	1	0	0	0	0	0
GRIP1	0	1	0	0	0	0	0
RAI2	0	1	0	0	0	0	0
SOWAHB	0	1	0	0	0	0	0
SGK1	0	1	1	0	0	0	0
TP73	0	1	0	0	0	0	0
FRS3	0	1	0	0	0	0	0
KATNIP	0	1	0	0	0	0	0
CDC123	0	1	0	0	0	0	0
CNOT4	0	1	0	0	0	0	0
ZBED1	0	1	0	0	0	0	0
EEF1B2	0	1	0	0	0	0	0
PSMC2	0	1	0	0	0	0	0
YAP1	0	1	0	0	0	0	0
TOB1	0	1	1	0	0	0	0
SEC13	0	1	0	0	0	0	0
PSMC5	0	1	0	0	0	0	0
ADAM17	0	1	1	0	0	0	0
ID3	0	1	0	0	0	0	0
CHAF1A	0	1	0	0	0	0	0
CHAF1B	0	1	0	0	0	0	0
TOB2	0	1	0	0	0	0	0
NFE2L1	0	1	0	0	0	0	0
TRIP12	0	1	0	0	0	0	0
TTLL4	0	1	0	0	0	0	0
PCLAF	0	1	0	0	0	0	0
TAF7	0	1	0	0	0	0	0
KIF7	0	1	0	0	0	0	0
ARHGAP29	0	1	0	0	0	0	0
PRRC2B	0	1	0	0	0	0	0
UBAP2	0	1	0	0	0	0	0
SYDE2	0	1	0	0	0	0	0
ZFYVE16	0	1	0	0	0	0	0
PEG10	0	1	0	0	0	0	0
RAVER1	0	1	0	0	0	0	0
RTKN2	0	1	0	0	0	0	0
SPART	0	1	0	0	0	0	0
CCAR2	0	1	0	0	0	0	0
SYT14	0	1	0	0	0	0	0
NECAP1	0	1	0	0	0	0	0
FBH1	0	1	0	0	0	0	0
CENPI	0	1	0	0	0	0	0
PRCC	0	1	0	0	0	0	0
OTUD5	0	1	0	0	0	0	0
POM121	0	1	0	0	0	0	0
BTBD6	0	1	0	0	0	0	0
ZMAT2	0	1	0	0	0	0	0
CDCA3	0	1	0	0	0	0	0
PAIP2	0	1	0	0	0	0	0
NUP58	0	1	0	0	0	0	0
UBL5	0	1	0	0	0	0	0
ZCCHC2	0	1	0	0	0	0	0
SENP6	0	1	0	0	0	0	0
WWTR1	0	1	0	0	0	0	0
