GENE.NAMES	set_WT	set_Inactive	set_Active
PPP1R18	missing	missing	MEK2
PPP1R2	missing	missing	MEK2
PPP1R3F	missing	missing	MEK2
PPP3CA	missing	MEK2	MEK2
PPP6R1	missing	missing	MEK2
PPT2	MEK2	MEK2	missing
PRAG1	missing	MEK2	MEK2
PREP	missing	missing	MEK2
PREX2	MEK1	missing	missing
PRKAR1B	missing	MEK1	MEK2
PRKCB	missing	MEK1	missing
PRKCI	missing	missing	common
PROCR	missing	missing	MEK2
PROS1	missing	missing	MEK2
PROSER2	missing	missing	MEK2
PSMB4	missing	MEK2	missing
PSMC2	MEK1	MEK2	MEK2
PSMC3	missing	missing	MEK2
PSMC4	missing	MEK2	common
PSMC5	common	MEK2	common
PSMC6	missing	missing	MEK2
PSMD1	missing	missing	MEK2
PSMD11	missing	missing	MEK2
PSMD12	missing	missing	MEK2
PSMD13	missing	missing	MEK2
PSMD14	missing	missing	MEK2
PSMD2	missing	missing	MEK2
PSMD7	missing	missing	MEK2
PSMD9	missing	missing	MEK2
PTPN12	missing	missing	MEK2
PTPRE	missing	MEK1	common
PTTG1IP	missing	missing	MEK2
PVR	missing	missing	MEK2
PXDC1	missing	missing	MEK2
PXN	missing	missing	MEK2
Q6ZSR9	MEK1	common	MEK2
RAB1A	missing	missing	MEK2
RAB27A	missing	missing	MEK2
RAB32	MEK1	MEK2	MEK1
RAB3C	MEK1	missing	MEK2
RAB6A	missing	missing	MEK2
RABIF	missing	missing	MEK2
RAC2	missing	missing	MEK2
RAF1	common	common	common
RANGAP1	missing	missing	MEK2
RASSF1	missing	missing	MEK2
RCBTB2	missing	common	missing
RCN1	missing	missing	MEK2
RDH10	missing	missing	MEK2
REEP2	missing	missing	MEK1
REEP3	missing	missing	MEK1
RGL2	missing	missing	MEK2
RGPD5	missing	missing	common
RHBDD2	missing	missing	MEK2
RHEB	missing	missing	MEK2
RIMKLA	missing	MEK2	missing
RIMKLB	MEK1	MEK2	missing
RIPK1	missing	MEK2	MEK2
RND1	missing	missing	common
RNF41	missing	missing	MEK1
RNF43	missing	missing	MEK2
RNF7	missing	missing	MEK2
RPA1	common	MEK1	missing
RPA2	MEK1	missing	missing
RPA3	MEK1	missing	missing
RPAP3	missing	missing	MEK2
RPN1	missing	missing	MEK2
RRM2	MEK1	missing	common
RSRP1	missing	missing	MEK1
RTN1	missing	common	missing
RUNX1	missing	missing	MEK2
S100A11	missing	missing	MEK2
S100A13	missing	missing	MEK2
SAR1A	missing	MEK2	MEK2
SARAF	missing	missing	MEK1
SARDH	missing	missing	MEK2
SASS6	missing	missing	MEK2
SAT1	missing	missing	MEK1
SCIN	missing	common	missing
SCML1	MEK2	missing	missing
SCRIB	common	MEK1	missing
SDCCAG8	missing	missing	MEK2
SDF4	missing	missing	MEK2
SEC23B	missing	missing	MEK2
SEC23IP	missing	MEK2	missing
SEC24A	missing	missing	MEK2
SEC61A1	missing	missing	MEK2
SEL1L3	missing	missing	MEK2
SELENOK	missing	missing	common
SELENOS	missing	missing	MEK1
SEMA7A	missing	missing	MEK2
SEPTIN10	missing	missing	MEK2
SERAC1	missing	missing	MEK2
SERF1A	missing	missing	MEK1
SERF2	missing	missing	MEK1
SERPINE2	missing	missing	MEK2
SESN3	MEK1	common	missing
SFN	missing	missing	MEK2
SFXN3	missing	missing	MEK2
SGCB	missing	missing	MEK2
SGK1	common	common	common
SH2B3	missing	missing	common
SH2D2A	missing	missing	MEK2
SH3BP4	missing	missing	MEK2
SH3GL1	missing	missing	MEK2
SH3GL2	missing	missing	MEK2
SH3RF1	missing	missing	MEK2
SHC1	missing	missing	MEK2
SHC4	missing	missing	MEK2
SHROOM1	missing	missing	MEK2
SKOR2	missing	missing	MEK1
SLC15A4	missing	missing	MEK2
SLC16A7	MEK2	MEK2	common
SLC18B1	missing	missing	MEK2
SLC19A1	missing	missing	MEK2
SLC1A4	missing	missing	MEK2
SLC20A1	missing	missing	MEK2
SLC25A26	missing	missing	MEK2
SLC25A29	missing	missing	MEK2
SLC25A32	missing	missing	MEK2
SLC25A6	MEK2	missing	MEK2
SLC27A6	missing	missing	MEK2
SLC29A3	missing	missing	MEK2
SLC2A14	missing	missing	common
SLC2A3	missing	missing	MEK2
SLC30A1	missing	missing	MEK2
SLC31A1	missing	missing	MEK2
SLC35A2	MEK2	missing	missing
SLC35E1	missing	missing	MEK2
SLC35G2	missing	missing	common
SLC38A1	missing	missing	MEK2
SLC43A1	missing	missing	MEK2
SLC5A6	missing	missing	MEK2
SLCO4A1	missing	missing	MEK2
SLIT2	missing	missing	MEK1
SLK	missing	missing	MEK2
SMAP1	missing	MEK2	MEK2
SMAP2	missing	missing	MEK2
SMDT1	missing	missing	MEK2
SMIM26	missing	missing	MEK1
SMPDL3B	missing	missing	MEK2
SNAP29	missing	MEK2	MEK2
SNAPIN	missing	missing	MEK2
SNCB	missing	missing	MEK2
SNF8	MEK1	MEK2	MEK2
SNX17	common	common	MEK2
SNX3	missing	MEK2	MEK2
SOD1	MEK2	MEK2	MEK2
SOWAHC	missing	missing	MEK2
SPAG5	common	common	MEK2
SPAG9	missing	missing	MEK2
SPART	missing	MEK2	missing
SPHK1	missing	missing	common
SPINT2	missing	missing	MEK2
SPOCD1	missing	missing	MEK2
SPOP	missing	missing	MEK2
SPRED1	missing	missing	common
SPRED2	missing	missing	MEK2
SPRY2	missing	missing	common
SPRY4	missing	missing	common
SPRYD4	MEK1	missing	missing
SPRYD7	missing	missing	MEK2
SQOR	MEK2	missing	missing
SQSTM1	missing	missing	common
SRPRA	missing	missing	MEK2
SRPX2	missing	missing	MEK2
