GENE.NAMES	set_WT	set_Inactive	set_Active
TUBA3E	missing	missing	MEK2
TUBA4A	missing	missing	MEK2
TUG1	common	MEK1	common
TUSC2	missing	missing	MEK2
TUSC3	missing	MEK1	missing
TUT7	missing	missing	MEK2
TXLNA	MEK1	MEK2	missing
TXLNB	MEK2	missing	missing
TXLNG	MEK1	missing	missing
TXNDC11	missing	missing	MEK2
TXNDC9	missing	missing	MEK2
UBALD2	missing	missing	MEK2
UBAP2	MEK1	MEK2	MEK2
UBAP2L	MEK1	MEK2	missing
UBE2D1	missing	MEK1	common
UBE2J1	missing	missing	MEK2
UBE2N	missing	MEK1	missing
UBE2S	missing	missing	common
UBL5	MEK1	MEK2	missing
UBXN8	MEK1	MEK2	MEK2
UCK2	missing	missing	MEK1
UFD1	missing	missing	MEK2
UGGT2	missing	missing	MEK2
UNC13A	missing	MEK2	missing
UPP1	missing	missing	common
USP11	missing	missing	MEK2
USP15	missing	missing	MEK2
USP16	MEK1	MEK2	MEK2
USP17L5;USP17L15;USP17L11;USP17L22;USP17L17;USP17L19;USP17L20;USP17L24	missing	missing	common
USP17L7	missing	missing	common
USP33	missing	missing	MEK2
USP9X	MEK1	MEK1	missing
USP9Y	MEK1	MEK1	missing
VAMP1	MEK2	missing	MEK2
VASP	missing	missing	MEK2
VCL	missing	missing	MEK2
VDAC1	missing	missing	MEK2
VGF	missing	missing	common
VMP1	missing	missing	MEK2
WASHC2A	missing	common	missing
WDR33	missing	missing	MEK1
WDR37	missing	common	missing
WDR45	missing	missing	MEK2
WDR7	MEK2	MEK2	missing
WDR87	missing	MEK1	missing
WDTC1	missing	missing	MEK2
WIPF2	missing	missing	MEK2
WSB1	missing	MEK2	missing
WSB2	missing	missing	common
WWTR1	common	common	MEK2
XPNPEP3	MEK1	missing	missing
YAP1	missing	MEK2	MEK2
YKT6	MEK2	common	MEK2
YPEL5	missing	missing	MEK1
YTHDF3	missing	missing	MEK2
YWHAB	MEK2	MEK2	common
YWHAE	MEK2	MEK2	common
YWHAG	MEK2	MEK2	common
YWHAH	MEK2	MEK2	common
YWHAQ	MEK2	MEK2	common
YWHAZ	MEK2	MEK2	common
ZCCHC12	missing	missing	common
ZCCHC2	MEK1	missing	MEK2
ZFAND5	missing	missing	MEK2
ZFAND6	missing	missing	MEK2
ZFP36	missing	missing	common
ZFP36L1	missing	missing	MEK1
ZFP36L2	missing	missing	MEK2
ZFYVE1	missing	missing	MEK2
ZFYVE16	MEK1	common	MEK2
ZNF214	missing	missing	MEK2
ZNF225	missing	missing	MEK1
ZNF429	missing	missing	MEK2
ZNRF1	common	common	common
ZSCAN18	missing	missing	MEK2
ZYX	missing	missing	MEK2
