Majority protein IDs	Gene_name_canonical	graph_localization_annotation	umap_1	umap_2	3D_umap_1	3D_umap_2	3D_umap_3
I3L0N3;A0A384MTI6;P46459;B7Z5J7;B4DSK5;B4DH19;B7Z9U2;B4DGR3	NSF	early_endosome	-11.142727	-4.032725	9.715857	5.3914747	5.4339805
A0JP11;Q99570;B2RAJ6	PIK3R4	early_endosome	-11.50321	-5.0295515	9.530141	5.62333	4.5627427
Q8IWE5;A0A2R8Y575	PLEKHM2	early_endosome	-11.415685	-4.1202374	9.909127	5.3892446	5.10292
Q1KKQ2;Q15139	PRKD1	early_endosome	-11.500766	-4.0875096	9.944782	5.4437714	5.3250947
O94806;A0A1S5UZ27;B3KNJ2	PRKD3	early_endosome	-11.452544	-3.8241339	10.091255	5.3221264	5.336938
P61106;A0A024R845;X6RFL8	RAB14	early_endosome	-11.538032	-4.403037	9.737067	5.664542	5.133931
A0A024RBA9;Q9UL25	RAB21	early_endosome	-11.5593195	-5.027348	9.439367	5.905449	4.925277
P20338;A0A024R3U9;Q53GC2	RAB4A	early_endosome	-11.7680645	-4.072268	10.208097	5.482477	5.0317006
A0A024R2K1;P20339;A0A0A1HAN9	RAB5A	early_endosome	-11.527106	-4.8806467	9.495311	5.838054	5.021668
A0A024R1U4;P51148;K7ERI8	RAB5C	early_endosome	-11.622952	-4.9995723	9.472629	5.903213	4.9174824
A0A158RFU6;P51149;A0A6Q8PG52;C9J592;B4DPH9;C9IZZ0;C9J8S3;C9J4V0	RAB7A	early_endosome	-11.583313	-4.848283	9.58064	5.7819715	4.8089423
P51151;A0A024RBV5	RAB9A	early_endosome	-11.637548	-4.9587865	9.555175	5.861154	4.755927
Q9GZN7;K7ERP1;K7EPS3;K7EMJ5	ROGDI	early_endosome	-11.411555	-8.069335	6.7181177	7.6464686	3.3626857
Q96T51;A8K7B1	RUFY1	early_endosome	-11.638576	-4.0717244	10.289364	5.2042675	4.6210723
H0YD93;Q8WXA3;Q5GIA6	RUFY2	early_endosome	-11.349147	-5.324263	9.270941	5.4540644	4.13836
Q9BVN2;Q9BT86	RUSC1	early_endosome	-11.4951515	-4.042427	9.991223	5.3754134	5.212439
O95721;C9JAF7	SNAP29	early_endosome	-12.098047	-4.3055277	10.139134	5.9927726	4.9778333
A0A087X0R6;Q3SYF1;Q9UMY4	SNX12	early_endosome	-11.824284	-3.7309499	10.539473	5.2088614	4.774692
B4DTB8;Q15036;B4DE48;B4DQ37	SNX17	early_endosome	-11.5752325	-5.820193	9.0679655	5.849561	3.8797755
