node	identifier
USP34	9606.ENSP00000381577
USP8	9606.ENSP00000379721
VANGL2	9606.ENSP00000357040
VPS26A	9606.ENSP00000263559
VPS29	9606.ENSP00000480853
VPS35	9606.ENSP00000299138
WIF1	9606.ENSP00000286574
WLS	9606.ENSP00000346829
WNT1	9606.ENSP00000293549
WNT10A	9606.ENSP00000258411
WNT10B	9606.ENSP00000301061
WNT11	9606.ENSP00000325526
WNT16	9606.ENSP00000222462
WNT2	9606.ENSP00000265441
WNT2B	9606.ENSP00000358698
WNT3	9606.ENSP00000225512
WNT3A	9606.ENSP00000284523
WNT4	9606.ENSP00000290167
WNT5A	9606.ENSP00000264634
WNT5B	9606.ENSP00000380379
WNT6	9606.ENSP00000233948
WNT7A	9606.ENSP00000285018
WNT7B	9606.ENSP00000341032
WNT8A	9606.ENSP00000426653
WNT8B	9606.ENSP00000340677
WNT9A	9606.ENSP00000272164
WNT9B	9606.ENSP00000290015
XIAP	9606.ENSP00000360242
XPO1	9606.ENSP00000384863
YWHAZ	9606.ENSP00000379287
ZNRF3	9606.ENSP00000443824
ZRANB1	9606.ENSP00000352676
