bait	prey	significant	HCDP	subcell_localization	logFC_APMS	padj_APMS	logFC_TbID	padj_TbID	method
HrasWT	PIK3CA	shared	yes	NA	0.346709388448828	0.0209678173550843	0.779080309530561	1.23315604175769e-07	Both
NrasQ61K	PIK3CA	core	yes	NA	1.66462511862454	1.70528735433091e-07	1.49011715308973	4.56748735094477e-10	Both
NrasQ61R	PIK3CA	core	yes	NA	2.59453447001857	4.87524419159457e-10	4.28829890001359	7.63091722865291e-15	Both
Raf1S259F	PIK3CA	shared	yes	NA	1.66267216724312	8.51783719560763e-07	0.83617698315309	2.25756878523829e-09	Both
BrafV600E	PIK3CA	shared	yes	NA	0.661206151107813	0.000160493088254026	0.841531389405778	1.69179689945202e-09	Both
Raf1D486A	PIK3CA	shared	yes	NA	1.53938738427261	1.14533895754551e-07	0.644795511952473	6.04374226719623e-08	Both
HrasG13R	PIK3CA	core	yes	NA	2.89288975817723	5.33425513975403e-06	2.14437751187515	9.22025858360884e-12	Both
ArafS214P	PIK3CA	shared	yes	NA	1.15215909699981	1.31817195279727e-06	0.913048362247574	1.18365121636436e-09	Both
KrasG12D	PIK3CA	core	yes	NA	1.95354208242875	7.80265888727685e-10	1.83516291631154	2.00082120775138e-08	Both
HrasQ61R	PIK3CA	core	yes	NA	2.63940994759276	2.2816009728711e-06	2.19183804129599	2.48816010375052e-12	Both
Raf1S257L	PIK3CA	shared	yes	NA	2.07823691956549	6.01552842557779e-10	0.629637180771346	4.54848072144088e-07	Both
KrasG12V	PIK3CA	core	yes	NA	1.6683151472624	4.35940783061295e-10	1.50554959788843	3.38449002334958e-08	Both
HrasG13R	PIK3CD	shared	yes	NA	1.76757416804328	0.0211282749526794	0.507644460653418	0.000141560148287465	Both
KrasG12V	PIK3CD	shared	yes	NA	0.642568572347727	0.00111735946435715	0.935524560443913	6.85617709565025e-06	Both
KrasG12D	PIK3CD	shared	yes	NA	0.677585783589207	0.00194603569870037	1.00099918001612	6.90480424881902e-06	Both
NrasQ61R	PIK3CD	core	yes	NA	3.16008150751078	0.000278918553328013	2.58705480082045	4.32256164787684e-11	Both
HrasQ61R	PIK3CD	shared	yes	NA	2.16674082413631	0.00680268548754534	0.661422032055572	1.79083226432194e-05	Both
ArafS214P	PIK3R1	shared	yes	plasma_membrane	0.959920722646872	1.44927497241646e-06	1.01134269698616	2.32824949204585e-10	Both
NrasQ61R	PIK3R1	core	yes	plasma_membrane	1.0439019127266	6.25791293723989e-07	2.72976576475134	4.04402812373339e-14	Both
ArafD447A	PIK3R1	core	yes	plasma_membrane	1.43547419345983	3.06380751370947e-09	1.05395763719913	1.2825169866667e-10	Both
HrasG13R	PIK3R1	core	yes	plasma_membrane	1.20231165545229	4.1368925837653e-05	0.953344470742189	2.46170765167458e-09	Both
Raf1S257L	PIK3R1	shared	yes	plasma_membrane	2.1333634857392	4.50384335142123e-11	0.778728320819023	1.12382155162947e-09	Both
